t              SphericalCavity.fdtd_Point probe_Ez_50_25_50.dat
   0.41413110718480084E-008  -0.626638139E-004
   0.41597990677044727E-008  -0.541272020E-004
   0.41782870635609370E-008  -0.482392934E-004
   0.41967750594174014E-008  -0.434383837E-004
   0.42152630552738657E-008  -0.385846397E-004
   0.42337510511303300E-008  -0.332075433E-004
   0.42522390469867943E-008  -0.275398215E-004
   0.42707270428432587E-008  -0.223255083E-004
   0.42892150386997230E-008  -0.185265053E-004
   0.43077030345561873E-008  -0.170135500E-004
   0.43261910304126516E-008  -0.182786771E-004
   0.43446790262691160E-008  -0.222591370E-004
   0.43631670221255803E-008  -0.283885383E-004
   0.43816550179820446E-008  -0.358623911E-004
   0.44001430138385089E-008  -0.439264404E-004
   0.44186310096949732E-008  -0.519856148E-004
   0.44371190055514376E-008  -0.595296806E-004
   0.44556070014079019E-008  -0.660493461E-004
   0.44740949972643662E-008  -0.710589520E-004
   0.44925829931208305E-008  -0.741628974E-004
   0.45110709889772949E-008  -0.750751133E-004
   0.45295589848337592E-008  -0.736239163E-004
   0.45480469806902235E-008  -0.698035510E-004
   0.45665349765466878E-008  -0.638174315E-004
   0.45850229724031522E-008  -0.560139342E-004
   0.46035109682596165E-008  -0.467373320E-004
   0.46219989641160808E-008  -0.362247374E-004
   0.46404869599725451E-008  -0.246197505E-004
   0.46589749558290094E-008  -0.120380782E-004
   0.46774629516854738E-008   0.140589600E-005
   0.46959509475419381E-008   0.156043825E-004
   0.47144389433984024E-008   0.304291352E-004
   0.47329269392548667E-008   0.456858033E-004
   0.47514149351113311E-008   0.611377181E-004
   0.47699029309677954E-008   0.766058292E-004
   0.47883909268242597E-008   0.920266029E-004
   0.48068789226807240E-008   0.107390784E-003
   0.48253669185371884E-008   0.122646990E-003
   0.48438549143936527E-008   0.137697265E-003
   0.48623429102501170E-008   0.152487439E-003
   0.48808309061065813E-008   0.167089864E-003
   0.48993189019630456E-008   0.181718613E-003
   0.49178068978195100E-008   0.196715046E-003
   0.49362948936759743E-008   0.212549916E-003
   0.49547828895324386E-008   0.229810816E-003
   0.49732708853889029E-008   0.249118631E-003
   0.49917588812453673E-008   0.271004625E-003
   0.50102468771018316E-008   0.295839127E-003
   0.50287348729582959E-008   0.323819055E-003
   0.50472228688147602E-008   0.354921358E-003
   0.50657108646712246E-008   0.388789689E-003
   0.50841988605276889E-008   0.424659724E-003
   0.51026868563841532E-008   0.461416086E-003
   0.51211748522406175E-008   0.497719389E-003
   0.51396628480970818E-008   0.532074017E-003
   0.51581508439535462E-008   0.562817382E-003
   0.51766388398100105E-008   0.588125782E-003
   0.51951268356664748E-008   0.606082380E-003
   0.52136148315229391E-008   0.614738732E-003
   0.52321028273794035E-008   0.612132601E-003
   0.52505908232358678E-008   0.596364378E-003
   0.52690788190923321E-008   0.565831549E-003
   0.52875668149487964E-008   0.519516179E-003
   0.53060548108052608E-008   0.457102491E-003
   0.53245428066617251E-008   0.378864061E-003
   0.53430308025181894E-008   0.285497081E-003
   0.53615187983746537E-008   0.178083545E-003
   0.53800067942311181E-008   0.581865970E-004
   0.53984947900875824E-008  -0.720395110E-004
   0.54169827859440467E-008  -0.209804944E-003
   0.54354707818005110E-008  -0.351713970E-003
   0.54539587776569753E-008  -0.493868953E-003
   0.54724467735134397E-008  -0.632055919E-003
   0.54909347693699040E-008  -0.761962146E-003
   0.55094227652263683E-008  -0.879326253E-003
   0.55279107610828326E-008  -0.979995355E-003
   0.55463987569392970E-008  -0.105999864E-002
   0.55648867527957613E-008  -0.111573667E-002
   0.55833747486522256E-008  -0.114423432E-002
