t              BoxCavity.fdtd_Point probe_Ex_20_30_24.dat
   0.65478329409982688E-009  -0.916364734E-004
   0.65632396067417942E-009  -0.935909484E-004
   0.65786462724853195E-009  -0.955562500E-004
   0.65940529382288449E-009  -0.975857038E-004
   0.66094596039723702E-009  -0.996963863E-004
   0.66248662697158955E-009  -0.101844489E-003
   0.66402729354594209E-009  -0.103985687E-003
   0.66556796012029462E-009  -0.106138272E-003
   0.66710862669464716E-009  -0.108360349E-003
   0.66864929326899969E-009  -0.110670269E-003
   0.67018995984335222E-009  -0.113020295E-003
   0.67173062641770476E-009  -0.115362207E-003
   0.67327129299205729E-009  -0.117715856E-003
   0.67481195956640982E-009  -0.120144483E-003
   0.67635262614076236E-009  -0.122668163E-003
   0.67789329271511489E-009  -0.125234918E-003
   0.67943395928946743E-009  -0.127792111E-003
   0.68097462586381996E-009  -0.130361208E-003
   0.68251529243817249E-009  -0.133010952E-003
   0.68405595901252503E-009  -0.135763286E-003
   0.68559662558687756E-009  -0.138561998E-003
   0.68713729216123010E-009  -0.141349810E-003
   0.68867795873558263E-009  -0.144149482E-003
   0.69021862530993516E-009  -0.147035345E-003
   0.69175929188428770E-009  -0.150031672E-003
   0.69329995845864023E-009  -0.153077985E-003
   0.69484062503299276E-009  -0.156112044E-003
   0.69638129160734530E-009  -0.159157891E-003
   0.69792195818169783E-009  -0.162295619E-003
   0.69946262475605037E-009  -0.165551755E-003
   0.70100329133040290E-009  -0.168861516E-003
   0.70254395790475543E-009  -0.172157757E-003
   0.70408462447910797E-009  -0.175465742E-003
   0.70562529105346050E-009  -0.178871313E-003
   0.70716595762781304E-009  -0.182403426E-003
   0.70870662420216557E-009  -0.185993020E-003
   0.71024729077651810E-009  -0.189567974E-003
   0.71178795735087064E-009  -0.193154876E-003
   0.71332862392522317E-009  -0.196845358E-003
   0.71486929049957570E-009  -0.200670605E-003
   0.71640995707392824E-009  -0.204557029E-003
   0.71795062364828077E-009  -0.208427387E-003
   0.71949129022263331E-009  -0.212309766E-003
   0.72103195679698584E-009  -0.216302054E-003
   0.72257262337133837E-009  -0.220437520E-003
   0.72411328994569091E-009  -0.224637435E-003
   0.72565395652004344E-009  -0.228819554E-003
   0.72719462309439598E-009  -0.233014318E-003
   0.72873528966874851E-009  -0.237325949E-003
   0.73027595624310104E-009  -0.241789123E-003
   0.73181662281745358E-009  -0.246319862E-003
   0.73335728939180611E-009  -0.250831188E-003
   0.73489795596615864E-009  -0.255355495E-003
   0.73643862254051118E-009  -0.260003173E-003
   0.73797928911486371E-009  -0.264811388E-003
   0.73951995568921625E-009  -0.269691052E-003
   0.74106062226356878E-009  -0.274548889E-003
   0.74260128883792131E-009  -0.279419066E-003
   0.74414195541227385E-009  -0.284420064E-003
   0.74568262198662638E-009  -0.289591757E-003
   0.74722328856097892E-009  -0.294838072E-003
   0.74876395513533145E-009  -0.300059444E-003
   0.75030462170968398E-009  -0.305293244E-003
   0.75184528828403652E-009  -0.310665346E-003
   0.75338595485838905E-009  -0.316217163E-003
   0.75492662143274158E-009  -0.321847125E-003
   0.75646728800709412E-009  -0.327450078E-003
   0.75800795458144665E-009  -0.333064585E-003
   0.75954862115579919E-009  -0.338823709E-003
   0.76108928773015172E-009  -0.344772852E-003
   0.76262995430450425E-009  -0.350804738E-003
   0.76417062087885679E-009  -0.356806151E-003
   0.76571128745320932E-009  -0.362817605E-003
   0.76725195402756186E-009  -0.368981448E-003
   0.76879262060191439E-009  -0.375345524E-003
   0.77033328717626692E-009  -0.381795224E-003
   0.77187395375061946E-009  -0.388211629E-003
   0.77341462032497199E-009  -0.394637900E-003
   0.77495528689932452E-009  -0.401222555E-003
   0.77649595347367706E-009  -0.408015942E-003
   0.77803662004802959E-009  -0.414899900E-003
   0.77957728662238213E-009  -0.421749253E-003
   0.78111795319673466E-009  -0.428605999E-003
   0.78265861977108719E-009  -0.435625931E-003
   0.78419928634543973E-009  -0.442865334E-003
   0.78573995291979226E-009  -0.450200489E-003
   0.78728061949414480E-009  -0.457497139E-003
   0.78882128606849733E-009  -0.464799232E-003
   0.79036195264284986E-009  -0.472271990E-003
   0.79190261921720240E-009  -0.479973387E-003
   0.79344328579155493E-009  -0.487772515E-003
   0.79498395236590746E-009  -0.495530781E-003
   0.79652461894026000E-009  -0.503295218E-003
   0.79806528551461253E-009  -0.511235557E-003
   0.79960595208896507E-009  -0.519411406E-003
   0.80114661866331760E-009  -0.527688884E-003
