t              BoxCavity.fdtd_Point probe001_Ez_15_10_7.dat
   0.15036905765680730E-008   0.266655534E-004
   0.15067719097167781E-008   0.265857998E-004
   0.15098532428654832E-008   0.263630282E-004
   0.15129345760141882E-008   0.257211595E-004
   0.15160159091628933E-008   0.249744608E-004
   0.15190972423115984E-008   0.245623651E-004
   0.15221785754603034E-008   0.244501807E-004
   0.15252599086090085E-008   0.242131464E-004
   0.15283412417577136E-008   0.236353499E-004
   0.15314225749064186E-008   0.229790421E-004
   0.15345039080551237E-008   0.225941749E-004
   0.15375852412038288E-008   0.224459618E-004
   0.15406665743525338E-008   0.221969131E-004
   0.15437479075012389E-008   0.216855969E-004
   0.15468292406499440E-008   0.211248262E-004
   0.15499105737986490E-008   0.207769208E-004
   0.15529919069473541E-008   0.205960114E-004
   0.15560732400960592E-008   0.203266572E-004
   0.15591545732447643E-008   0.198720500E-004
   0.15622359063934693E-008   0.193990199E-004
   0.15653172395421744E-008   0.190766477E-004
   0.15683985726908795E-008   0.188547438E-004
   0.15714799058395845E-008   0.185690169E-004
   0.15745612389882896E-008   0.181770956E-004
   0.15776425721369947E-008   0.177900765E-004
   0.15807239052856997E-008   0.174936322E-004
   0.15838052384344048E-008   0.172380260E-004
   0.15868865715831099E-008   0.169377472E-004
   0.15899679047318149E-008   0.166016325E-004
   0.15930492378805200E-008   0.162951801E-004
   0.15961305710292251E-008   0.160218151E-004
   0.15992119041779301E-008   0.157279665E-004
   0.16022932373266352E-008   0.154095342E-004
   0.16053745704753403E-008   0.151250933E-004
   0.16084559036240453E-008   0.148901454E-004
   0.16115372367727504E-008   0.146359698E-004
   0.16146185699214555E-008   0.143145489E-004
   0.16176999030701605E-008   0.139888225E-004
   0.16207812362188656E-008   0.137527841E-004
   0.16238625693675707E-008   0.135822129E-004
   0.16269439025162757E-008   0.133469302E-004
   0.16300252356649808E-008   0.129976861E-004
   0.16331065688136859E-008   0.126604027E-004
   0.16361879019623909E-008   0.124687258E-004
   0.16392692351110960E-008   0.123570235E-004
   0.16423505682598011E-008   0.121340418E-004
   0.16454319014085061E-008   0.117585787E-004
   0.16485132345572112E-008   0.114173299E-004
   0.16515945677059163E-008   0.112696380E-004
   0.16546759008546214E-008   0.112112657E-004
   0.16577572340033264E-008   0.110048404E-004
   0.16608385671520315E-008   0.106131383E-004
   0.16639199003007366E-008   0.102672539E-004
   0.16670012334494416E-008   0.101521400E-004
   0.16700825665981467E-008   0.101365613E-004
   0.16731638997468518E-008   0.994167840E-005
   0.16762452328955568E-008   0.953402014E-005
   0.16793265660442619E-008   0.918814931E-005
   0.16824078991929670E-008   0.910928065E-005
   0.16854892323416720E-008   0.913634358E-005
   0.16885705654903771E-008   0.895513131E-005
   0.16916518986390822E-008   0.853817528E-005
   0.16947332317877872E-008   0.819363777E-005
   0.16978145649364923E-008   0.814081250E-005
   0.17008958980851974E-008   0.819873367E-005
   0.17039772312339024E-008   0.803027615E-005
   0.17070585643826075E-008   0.761125102E-005
   0.17101398975313126E-008   0.727092447E-005
   0.17132212306800176E-008   0.723928679E-005
   0.17163025638287227E-008   0.732442095E-005
   0.17193838969774278E-008   0.717210787E-005
   0.17224652301261328E-008   0.675669162E-005
   0.17255465632748379E-008   0.642280020E-005
   0.17286278964235430E-008   0.641030374E-005
   0.17317092295722480E-008   0.651749997E-005
   0.17347905627209531E-008   0.637726680E-005
   0.17378718958696582E-008   0.596748305E-005
   0.17409532290183632E-008   0.564343509E-005
   0.17440345621670683E-008   0.564547508E-005
   0.17471158953157734E-008   0.576675529E-005
   0.17501972284644784E-008   0.564006359E-005
   0.17532785616131835E-008   0.524468669E-005
   0.17563598947618886E-008   0.493429343E-005
   0.17594412279105937E-008   0.494819687E-005
   0.17625225610592987E-008   0.508013318E-005
   0.17656038942080038E-008   0.496402936E-005
   0.17686852273567089E-008   0.458219529E-005
   0.17717665605054139E-008   0.428850308E-005
   0.17748478936541190E-008   0.431486251E-005
   0.17779292268028241E-008   0.445148999E-005
   0.17810105599515291E-008   0.434292770E-005
   0.17840918931002342E-008   0.398017391E-005
   0.17871732262489393E-008   0.370685643E-005
   0.17902545593976443E-008   0.374105207E-005
   0.17933358925463494E-008   0.387826367E-005
   0.17964172256950545E-008   0.377943979E-005
   0.17994985588437595E-008   0.343904321E-005
   0.18025798919924646E-008   0.318661228E-005
   0.18056612251411697E-008   0.322671053E-005
   0.18087425582898747E-008   0.335996901E-005
   0.18118238914385798E-008   0.326691611E-005
   0.18149052245872849E-008   0.295012342E-005
   0.18179865577359899E-008   0.272168313E-005
   0.18210678908846950E-008   0.276671972E-005
   0.18241492240334001E-008   0.289422337E-005
   0.18272305571821051E-008   0.280930726E-005
   0.18303118903308102E-008   0.251820734E-005
   0.18333932234795153E-008   0.231024183E-005
   0.18364745566282203E-008   0.235521316E-005
   0.18395558897769254E-008   0.247622802E-005
   0.18426372229256305E-008   0.240126519E-005
   0.18457185560743355E-008   0.213615726E-005
   0.18487998892230406E-008   0.194770428E-005
   0.18518812223717457E-008   0.199213491E-005
   0.18549625555204508E-008   0.210612166E-005
   0.18580438886691558E-008   0.203988520E-005
   0.18611252218178609E-008   0.179993833E-005
   0.18642065549665660E-008   0.163075379E-005
