t              noda2002.fdtd_Point probe_Ez_12_12_2.dat
   0.28031999887989656E-007  -0.373859955E+003
   0.28127999887606059E-007  -0.374030273E+003
   0.28223999887222462E-007  -0.374089264E+003
   0.28319999886838865E-007  -0.374102966E+003
   0.28415999886455268E-007  -0.374202759E+003
   0.28511999886071671E-007  -0.374407318E+003
   0.28607999885688074E-007  -0.374607025E+003
   0.28703999885304476E-007  -0.374720581E+003
   0.28799999884920879E-007  -0.374802643E+003
   0.28895999884537282E-007  -0.374962860E+003
   0.28991999884153685E-007  -0.375217163E+003
   0.29087999883770088E-007  -0.375473785E+003
   0.29183999883386491E-007  -0.375663300E+003
   0.29279999883002894E-007  -0.375830536E+003
   0.29375999882619297E-007  -0.376069885E+003
   0.29471999882235700E-007  -0.376400146E+003
   0.29567999881852103E-007  -0.376747650E+003
   0.29663999881468506E-007  -0.377052124E+003
   0.29759999881084909E-007  -0.377347565E+003
   0.29855999880701312E-007  -0.377714233E+003
   0.29951999880317715E-007  -0.378172760E+003
   0.30047999879934117E-007  -0.378662811E+003
   0.30143999879550520E-007  -0.379128021E+003
   0.30239999879166923E-007  -0.379591003E+003
   0.30335999878783326E-007  -0.380121460E+003
   0.30431999878399729E-007  -0.380744995E+003
   0.30527999878016132E-007  -0.381414185E+003
   0.30623999877632535E-007  -0.382075806E+003
   0.30719999877248938E-007  -0.382742523E+003
   0.30815999876865341E-007  -0.383475647E+003
   0.30911999876481744E-007  -0.384304962E+003
   0.31007999876098147E-007  -0.385191620E+003
   0.31103999875714550E-007  -0.386081024E+003
   0.31199999875330953E-007  -0.386974792E+003
   0.31295999874947356E-007  -0.387927643E+003
   0.31391999874563759E-007  -0.388974854E+003
   0.31487999874180161E-007  -0.390085938E+003
   0.31583999873796564E-007  -0.391204834E+003
   0.31679999873412967E-007  -0.392323883E+003
   0.31775999873029370E-007  -0.393493500E+003
   0.31871999872645773E-007  -0.394755005E+003
   0.31967999872262176E-007  -0.396084320E+003
   0.32063999871878579E-007  -0.397421082E+003
   0.32159999871494982E-007  -0.398746155E+003
   0.32255999871111385E-007  -0.400105591E+003
   0.32351999870727788E-007  -0.401547455E+003
   0.32447999870344191E-007  -0.403054291E+003
   0.32543999869960594E-007  -0.404562042E+003
   0.32639999869576997E-007  -0.406042786E+003
   0.32735999869193400E-007  -0.407541931E+003
   0.32831999868809802E-007  -0.409117126E+003
   0.32927999868426205E-007  -0.410757935E+003
   0.33023999868042608E-007  -0.412394287E+003
   0.33119999867659011E-007  -0.413987274E+003
   0.33215999867275414E-007  -0.415581268E+003
   0.33311999866891817E-007  -0.417244232E+003
   0.33407999866508220E-007  -0.418972198E+003
   0.33503999866124623E-007  -0.420688477E+003
   0.33599999865741026E-007  -0.422343994E+003
   0.33695999865357429E-007  -0.423984985E+003
   0.33791999864973832E-007  -0.425691559E+003
   0.33887999864590235E-007  -0.427465607E+003
   0.33983999864206638E-007  -0.429221558E+003
   0.34079999863823041E-007  -0.430898560E+003
   0.34175999863439444E-007  -0.432543671E+003
   0.34271999863055846E-007  -0.434247406E+003
   0.34367999862672249E-007  -0.436014069E+003
   0.34463999862288652E-007  -0.437746155E+003
   0.34559999861905055E-007  -0.439371613E+003
   0.34655999861521458E-007  -0.440942017E+003
   0.34751999861137861E-007  -0.442561493E+003
   0.34847999860754264E-007  -0.444238495E+003
   0.34943999860370667E-007  -0.445866486E+003
   0.35039999859987070E-007  -0.447366425E+003
   0.35135999859603473E-007  -0.448826355E+003
   0.35231999859219876E-007  -0.450390045E+003
   0.35327999858836279E-007  -0.452018646E+003
   0.35423999858452682E-007  -0.453549133E+003
   0.35519999858069085E-007  -0.454907349E+003
   0.35615999857685487E-007  -0.456201538E+003
   0.35711999857301890E-007  -0.457576447E+003
   0.35807999856918293E-007  -0.459021301E+003
   0.35903999856534696E-007  -0.460385986E+003
   0.35999999856151099E-007  -0.461583557E+003
   0.36095999855767502E-007  -0.462706848E+003
   0.36191999855383905E-007  -0.463900818E+003
   0.36287999855000308E-007  -0.465164215E+003
   0.36383999854616711E-007  -0.466351227E+003
   0.36479999854233114E-007  -0.467370361E+003
   0.36575999853849517E-007  -0.468308197E+003
   0.36671999853465920E-007  -0.469307251E+003
   0.36767999853082323E-007  -0.470368835E+003
   0.36863999852698726E-007  -0.471353973E+003
   0.36959999852315129E-007  -0.472179474E+003
