t              SphereRCS.fdtd_Point probe_Ez_50_50_13.dat       incid
   0.91207449648411654E-008   0.886295689E-003   0.000000000E+000
   0.91515582924250882E-008   0.998003525E-003   0.000000000E+000
   0.91823716200090111E-008   0.101271400E-002   0.000000000E+000
   0.92131849475929339E-008   0.101190887E-002   0.000000000E+000
   0.92439982751768568E-008   0.980730518E-003   0.000000000E+000
   0.92748116027607796E-008   0.838795095E-003   0.000000000E+000
   0.93056249303447025E-008   0.575578713E-003   0.000000000E+000
   0.93364382579286254E-008   0.276922452E-003   0.000000000E+000
   0.93672515855125482E-008   0.106356165E-004   0.000000000E+000
   0.93980649130964711E-008  -0.240494439E-003   0.000000000E+000
   0.94288782406803939E-008  -0.494209700E-003   0.000000000E+000
   0.94596915682643168E-008  -0.679149001E-003   0.000000000E+000
   0.94905048958482396E-008  -0.702954014E-003   0.000000000E+000
   0.95213182234321625E-008  -0.586646493E-003   0.000000000E+000
   0.95521315510160854E-008  -0.449053739E-003   0.000000000E+000
   0.95829448786000082E-008  -0.347649562E-003   0.000000000E+000
   0.96137582061839311E-008  -0.214910615E-003   0.000000000E+000
   0.96445715337678539E-008   0.894628465E-005   0.000000000E+000
   0.96753848613517768E-008   0.252187601E-003   0.000000000E+000
   0.97061981889356996E-008   0.388701446E-003   0.000000000E+000
   0.97370115165196225E-008   0.393884082E-003   0.000000000E+000
   0.97678248441035453E-008   0.344202796E-003   0.000000000E+000
   0.97986381716874682E-008   0.281585759E-003   0.000000000E+000
   0.98294514992713911E-008   0.166092854E-003   0.000000000E+000
   0.98602648268553139E-008  -0.208655547E-004   0.000000000E+000
   0.98910781544392368E-008  -0.204620505E-003   0.000000000E+000
   0.99218914820231596E-008  -0.300335552E-003   0.000000000E+000
   0.99527048096070825E-008  -0.324027613E-003   0.000000000E+000
   0.99835181371910053E-008  -0.357032084E-003   0.000000000E+000
   0.10014331464774928E-007  -0.413408212E-003   0.000000000E+000
   0.10045144792358851E-007  -0.411227578E-003   0.000000000E+000
   0.10075958119942774E-007  -0.294897996E-003   0.000000000E+000
   0.10106771447526697E-007  -0.125292267E-003   0.000000000E+000
   0.10137584775110620E-007  -0.812127837E-006   0.000000000E+000
   0.10168398102694542E-007   0.694888295E-004   0.000000000E+000
   0.10199211430278465E-007   0.150177031E-003   0.000000000E+000
   0.10230024757862388E-007   0.258470245E-003   0.000000000E+000
   0.10260838085446311E-007   0.335454388E-003   0.000000000E+000
   0.10291651413030234E-007   0.347579800E-003   0.000000000E+000
   0.10322464740614157E-007   0.345161156E-003   0.000000000E+000
   0.10353278068198080E-007   0.380537647E-003   0.000000000E+000
   0.10384091395782002E-007   0.417513365E-003   0.000000000E+000
   0.10414904723365925E-007   0.378628320E-003   0.000000000E+000
   0.10445718050949848E-007   0.263393915E-003   0.000000000E+000
   0.10476531378533771E-007   0.161377771E-003   0.000000000E+000
   0.10507344706117694E-007   0.137744675E-003   0.000000000E+000
   0.10538158033701617E-007   0.153534536E-003   0.000000000E+000
   0.10568971361285540E-007   0.130699133E-003   0.000000000E+000
   0.10599784688869462E-007   0.622002190E-004   0.000000000E+000
   0.10630598016453385E-007   0.856969928E-005   0.000000000E+000
   0.10661411344037308E-007  -0.870583790E-006   0.000000000E+000
   0.10692224671621231E-007  -0.362405990E-005   0.000000000E+000
   0.10723037999205154E-007  -0.297968254E-004   0.000000000E+000
   0.10753851326789077E-007  -0.504394993E-004   0.000000000E+000
   0.10784664654373000E-007  -0.361442362E-004   0.000000000E+000
   0.10815477981956922E-007  -0.235426669E-004   0.000000000E+000
   0.10846291309540845E-007  -0.686884305E-004   0.000000000E+000
   0.10877104637124768E-007  -0.151525601E-003   0.000000000E+000
   0.10907917964708691E-007  -0.184986333E-003   0.000000000E+000
   0.10938731292292614E-007  -0.129616004E-003   0.000000000E+000
   0.10969544619876537E-007  -0.521154361E-004   0.000000000E+000
   0.11000357947460460E-007  -0.404664825E-004   0.000000000E+000
   0.11031171275044382E-007  -0.927193323E-004   0.000000000E+000
   0.11061984602628305E-007  -0.132879431E-003   0.000000000E+000
   0.11092797930212228E-007  -0.122433281E-003   0.000000000E+000
   0.11123611257796151E-007  -0.102545528E-003   0.000000000E+000
   0.11154424585380074E-007  -0.116784300E-003   0.000000000E+000
   0.11185237912963997E-007  -0.146297069E-003   0.000000000E+000
   0.11216051240547920E-007  -0.155185044E-003   0.000000000E+000
   0.11246864568131842E-007  -0.157413640E-003   0.000000000E+000
   0.11277677895715765E-007  -0.186185964E-003   0.000000000E+000
   0.11308491223299688E-007  -0.218375731E-003   0.000000000E+000
   0.11339304550883611E-007  -0.190447288E-003   0.000000000E+000
   0.11370117878467534E-007  -0.951965048E-004   0.000000000E+000
   0.11400931206051457E-007  -0.904541957E-005   0.000000000E+000
   0.11431744533635380E-007   0.328532496E-005   0.000000000E+000
   0.11462557861219302E-007  -0.271045647E-004   0.000000000E+000
   0.11493371188803225E-007  -0.222706403E-004   0.000000000E+000
   0.11524184516387148E-007   0.334378565E-004   0.000000000E+000
   0.11554997843971071E-007   0.812679355E-004   0.000000000E+000
   0.11585811171554994E-007   0.800445487E-004   0.000000000E+000
   0.11616624499138917E-007   0.573870529E-004   0.000000000E+000
   0.11647437826722840E-007   0.516957662E-004   0.000000000E+000
   0.11678251154306762E-007   0.513711420E-004   0.000000000E+000
   0.11709064481890685E-007   0.305276844E-004   0.000000000E+000
   0.11739877809474608E-007   0.119382003E-004   0.000000000E+000
   0.11770691137058531E-007   0.414069145E-004   0.000000000E+000
   0.11801504464642454E-007   0.109051412E-003   0.000000000E+000
   0.11832317792226377E-007   0.148652689E-003   0.000000000E+000
   0.11863131119810300E-007   0.126473955E-003   0.000000000E+000
   0.11893944447394222E-007   0.881918677E-004   0.000000000E+000
   0.11924757774978145E-007   0.932769035E-004   0.000000000E+000
   0.11955571102562068E-007   0.133419002E-003   0.000000000E+000
   0.11986384430145991E-007   0.149825602E-003   0.000000000E+000
   0.12017197757729914E-007   0.114789291E-003   0.000000000E+000
   0.12048011085313837E-007   0.568600335E-004   0.000000000E+000
   0.12078824412897760E-007   0.664480103E-005   0.000000000E+000
   0.12109637740481682E-007  -0.408433480E-004   0.000000000E+000
   0.12140451068065605E-007  -0.932663243E-004   0.000000000E+000
   0.12171264395649528E-007  -0.126210143E-003   0.000000000E+000
   0.12202077723233451E-007  -0.114838171E-003   0.000000000E+000
   0.12232891050817374E-007  -0.811870195E-004   0.000000000E+000
   0.12263704378401297E-007  -0.712471738E-004   0.000000000E+000
   0.12294517705985220E-007  -0.878325955E-004   0.000000000E+000
   0.12325331033569142E-007  -0.823280207E-004   0.000000000E+000
   0.12356144361153065E-007  -0.229943289E-004   0.000000000E+000
   0.12386957688736988E-007   0.576767088E-004   0.000000000E+000
   0.12417771016320911E-007   0.102160513E-003   0.000000000E+000
   0.12448584343904834E-007   0.944989151E-004   0.000000000E+000
   0.12479397671488757E-007   0.652200251E-004   0.000000000E+000
   0.12510210999072680E-007   0.422482626E-004   0.000000000E+000
   0.12541024326656602E-007   0.249874865E-004   0.000000000E+000
   0.12571837654240525E-007   0.724972051E-005   0.000000000E+000
   0.12602650981824448E-007  -0.278973857E-005   0.000000000E+000
   0.12633464309408371E-007  -0.774350610E-007   0.000000000E+000
   0.12664277636992294E-007  -0.157255400E-006   0.000000000E+000
   0.12695090964576217E-007  -0.171468455E-004   0.000000000E+000
   0.12725904292160140E-007  -0.336004305E-004   0.000000000E+000
   0.12756717619744062E-007  -0.164163157E-004   0.000000000E+000
   0.12787530947327985E-007   0.362494029E-004   0.000000000E+000
   0.12818344274911908E-007   0.848668569E-004   0.000000000E+000
   0.12849157602495831E-007   0.933667325E-004   0.000000000E+000
   0.12879970930079754E-007   0.688965301E-004   0.000000000E+000
   0.12910784257663677E-007   0.457465721E-004   0.000000000E+000
   0.12941597585247600E-007   0.411884976E-004   0.000000000E+000
   0.12972410912831522E-007   0.430090076E-004   0.000000000E+000
   0.13003224240415445E-007   0.361971943E-004   0.000000000E+000
   0.13034037567999368E-007   0.236671440E-004   0.000000000E+000
   0.13064850895583291E-007   0.152051507E-004   0.000000000E+000
   0.13095664223167214E-007   0.104984947E-004   0.000000000E+000
   0.13126477550751137E-007   0.568818268E-005   0.000000000E+000
   0.13157290878335060E-007   0.880684365E-005   0.000000000E+000
   0.13188104205918982E-007   0.321133375E-004   0.000000000E+000
   0.13218917533502905E-007   0.681461024E-004   0.000000000E+000
   0.13249730861086828E-007   0.888944851E-004   0.000000000E+000
   0.13280544188670751E-007   0.773525971E-004   0.000000000E+000
   0.13311357516254674E-007   0.498477457E-004   0.000000000E+000
   0.13342170843838597E-007   0.354676304E-004   0.000000000E+000
   0.13372984171422519E-007   0.391794019E-004   0.000000000E+000
   0.13403797499006442E-007   0.396792784E-004   0.000000000E+000
