t              SphereRCS.fdtd_Point probe_Ex_15_15_4.dat       incid
   0.13557865663482715E-007  -0.950815976E-001   0.000000000E+000
   0.13588678994536085E-007  -0.642293096E-001   0.000000000E+000
   0.13619492325589455E-007  -0.312502608E-001   0.000000000E+000
   0.13650305656642825E-007   0.126201659E-002   0.000000000E+000
   0.13681118987696195E-007   0.307467356E-001   0.000000000E+000
   0.13711932318749565E-007   0.548914671E-001   0.000000000E+000
   0.13742745649802934E-007   0.718302429E-001   0.000000000E+000
   0.13773558980856304E-007   0.803058445E-001   0.000000000E+000
   0.13804372311909674E-007   0.797808319E-001   0.000000000E+000
   0.13835185642963044E-007   0.704862997E-001   0.000000000E+000
   0.13865998974016414E-007   0.534030721E-001   0.000000000E+000
   0.13896812305069783E-007   0.301763378E-001   0.000000000E+000
   0.13927625636123153E-007   0.297092088E-002   0.000000000E+000
   0.13958438967176523E-007  -0.257197302E-001   0.000000000E+000
   0.13989252298229893E-007  -0.532935262E-001   0.000000000E+000
   0.14020065629283263E-007  -0.772684216E-001   0.000000000E+000
   0.14050878960336632E-007  -0.954987556E-001   0.000000000E+000
   0.14081692291390002E-007  -0.106359556E+000   0.000000000E+000
   0.14112505622443372E-007  -0.108882070E+000   0.000000000E+000
   0.14143318953496742E-007  -0.102828883E+000   0.000000000E+000
   0.14174132284550112E-007  -0.887026936E-001   0.000000000E+000
   0.14204945615603481E-007  -0.676892698E-001   0.000000000E+000
   0.14235758946656851E-007  -0.415413752E-001   0.000000000E+000
   0.14266572277710221E-007  -0.124159623E-001   0.000000000E+000
   0.14297385608763591E-007   0.173192229E-001   0.000000000E+000
   0.14328198939816961E-007   0.452909693E-001   0.000000000E+000
   0.14359012270870330E-007   0.693189800E-001   0.000000000E+000
   0.14389825601923700E-007   0.875898227E-001   0.000000000E+000
   0.14420638932977070E-007   0.987923890E-001   0.000000000E+000
   0.14451452264030440E-007   0.102204971E+000   0.000000000E+000
   0.14482265595083810E-007   0.977294222E-001   0.000000000E+000
   0.14513078926137180E-007   0.858729035E-001   0.000000000E+000
   0.14543892257190549E-007   0.676825345E-001   0.000000000E+000
   0.14574705588243919E-007   0.446419716E-001   0.000000000E+000
   0.14605518919297289E-007   0.185414199E-001   0.000000000E+000
   0.14636332250350659E-007  -0.866632722E-002   0.000000000E+000
   0.14667145581404029E-007  -0.350115970E-001   0.000000000E+000
   0.14697958912457398E-007  -0.586445406E-001   0.000000000E+000
   0.14728772243510768E-007  -0.779542029E-001   0.000000000E+000
   0.14759585574564138E-007  -0.916641429E-001   0.000000000E+000
   0.14790398905617508E-007  -0.989013016E-001   0.000000000E+000
   0.14821212236670878E-007  -0.992370769E-001   0.000000000E+000
   0.14852025567724247E-007  -0.927013308E-001   0.000000000E+000
   0.14882838898777617E-007  -0.797710493E-001   0.000000000E+000
   0.14913652229830987E-007  -0.613359734E-001   0.000000000E+000
   0.14944465560884357E-007  -0.386434495E-001   0.000000000E+000
   0.14975278891937727E-007  -0.132248849E-001   0.000000000E+000
   0.15006092222991096E-007   0.131938662E-001   0.000000000E+000
   0.15036905554044466E-007   0.387954377E-001   0.000000000E+000
   0.15067718885097836E-007   0.617836341E-001   0.000000000E+000
   0.15098532216151206E-007   0.805011541E-001   0.000000000E+000
   0.15129345547204576E-007   0.935461447E-001   0.000000000E+000
   0.15160158878257946E-007   0.998800918E-001   0.000000000E+000
   0.15190972209311315E-007   0.989184156E-001   0.000000000E+000
   0.15221785540364685E-007   0.905949175E-001   0.000000000E+000
   0.15252598871418055E-007   0.753919482E-001   0.000000000E+000
   0.15283412202471425E-007   0.543298759E-001   0.000000000E+000
   0.15314225533524795E-007   0.289125144E-001   0.000000000E+000
   0.15345038864578164E-007   0.102897920E-002   0.000000000E+000
   0.15375852195631534E-007  -0.271831844E-001   0.000000000E+000
   0.15406665526684904E-007  -0.535042472E-001   0.000000000E+000
   0.15437478857738274E-007  -0.758147091E-001   0.000000000E+000
   0.15468292188791644E-007  -0.922779292E-001   0.000000000E+000
   0.15499105519845013E-007  -0.101505600E+000   0.000000000E+000
   0.15529918850898383E-007  -0.102689601E+000   0.000000000E+000
   0.15560732181951753E-007  -0.956858620E-001   0.000000000E+000
   0.15591545513005123E-007  -0.810403898E-001   0.000000000E+000
   0.15622358844058493E-007  -0.599529743E-001   0.000000000E+000
   0.15653172175111862E-007  -0.341802798E-001   0.000000000E+000
   0.15683985506165232E-007  -0.588637218E-002   0.000000000E+000
   0.15714798837218602E-007   0.225458965E-001   0.000000000E+000
   0.15745612168271972E-007   0.487249047E-001   0.000000000E+000
   0.15776425499325342E-007   0.704617053E-001   0.000000000E+000
   0.15807238830378711E-007   0.859626532E-001   0.000000000E+000
   0.15838052161432081E-007   0.939849690E-001   0.000000000E+000
   0.15868865492485451E-007   0.939406976E-001   0.000000000E+000
   0.15899678823538821E-007   0.859399512E-001   0.000000000E+000
   0.15930492154592191E-007   0.707704499E-001   0.000000000E+000
   0.15961305485645561E-007   0.498165861E-001   0.000000000E+000
   0.15992118816698930E-007   0.249271840E-001   0.000000000E+000
   0.16022932147752300E-007  -0.175428204E-002   0.000000000E+000
   0.16053745478805670E-007  -0.279801786E-001   0.000000000E+000
   0.16084558809859040E-007  -0.515917726E-001   0.000000000E+000
   0.16115372140912410E-007  -0.706973970E-001   0.000000000E+000
   0.16146185471965779E-007  -0.838205293E-001   0.000000000E+000
   0.16176998803019149E-007  -0.900062993E-001   0.000000000E+000
   0.16207812134072519E-007  -0.888795257E-001   0.000000000E+000
   0.16238625465125889E-007  -0.806521475E-001   0.000000000E+000
   0.16269438796179259E-007  -0.660827756E-001   0.000000000E+000
   0.16300252127232628E-007  -0.463950112E-001   0.000000000E+000
   0.16331065458285998E-007  -0.231641643E-001   0.000000000E+000
   0.16361878789339368E-007   0.181603618E-002   0.000000000E+000
