t              SphereRCS.fdtd_Point probe_Ey_15_15_4.dat       incid
   0.75184527770222331E-008  -0.243959541E-003   0.000000000E+000
   0.75492661080756029E-008  -0.245852250E-003   0.000000000E+000
   0.75800794391289728E-008  -0.246489624E-003   0.000000000E+000
   0.76108927701823426E-008  -0.251768273E-003   0.000000000E+000
   0.76417061012357124E-008  -0.267342519E-003   0.000000000E+000
   0.76725194322890822E-008  -0.297616731E-003   0.000000000E+000
   0.77033327633424520E-008  -0.344746077E-003   0.000000000E+000
   0.77341460943958218E-008  -0.407783082E-003   0.000000000E+000
   0.77649594254491916E-008  -0.482110336E-003   0.000000000E+000
   0.77957727565025614E-008  -0.559285167E-003   0.000000000E+000
   0.78265860875559312E-008  -0.627388479E-003   0.000000000E+000
   0.78573994186093010E-008  -0.671919493E-003   0.000000000E+000
   0.78882127496626708E-008  -0.677210977E-003   0.000000000E+000
   0.79190260807160406E-008  -0.628266251E-003   0.000000000E+000
   0.79498394117694104E-008  -0.512849307E-003   0.000000000E+000
   0.79806527428227803E-008  -0.323595479E-003   0.000000000E+000
   0.80114660738761501E-008  -0.598737097E-004   0.000000000E+000
   0.80422794049295199E-008   0.270878780E-003   0.000000000E+000
   0.80730927359828897E-008   0.652600196E-003   0.000000000E+000
   0.81039060670362595E-008   0.106101402E-002   0.000000000E+000
   0.81347193980896293E-008   0.146509265E-002   0.000000000E+000
   0.81655327291429991E-008   0.182953780E-002   0.000000000E+000
   0.81963460601963689E-008   0.211810647E-002   0.000000000E+000
   0.82271593912497387E-008   0.229747943E-002   0.000000000E+000
   0.82579727223031085E-008   0.234126206E-002   0.000000000E+000
   0.82887860533564783E-008   0.223364192E-002   0.000000000E+000
   0.83195993844098481E-008   0.197221898E-002   0.000000000E+000
   0.83504127154632179E-008   0.156957400E-002   0.000000000E+000
   0.83812260465165878E-008   0.105325517E-002   0.000000000E+000
   0.84120393775699576E-008   0.464034441E-003   0.000000000E+000
   0.84428527086233274E-008  -0.147511135E-003   0.000000000E+000
   0.84736660396766972E-008  -0.725824735E-003   0.000000000E+000
   0.85044793707300670E-008  -0.121612742E-002   0.000000000E+000
   0.85352927017834368E-008  -0.157048262E-002   0.000000000E+000
   0.85661060328368066E-008  -0.175345247E-002   0.000000000E+000
   0.85969193638901764E-008  -0.174663519E-002   0.000000000E+000
   0.86277326949435462E-008  -0.155146315E-002   0.000000000E+000
   0.86585460259969160E-008  -0.118982745E-002   0.000000000E+000
   0.86893593570502858E-008  -0.702340156E-003   0.000000000E+000
   0.87201726881036556E-008  -0.144338701E-003   0.000000000E+000
   0.87509860191570255E-008   0.419976655E-003   0.000000000E+000
   0.87817993502103953E-008   0.924621301E-003   0.000000000E+000
   0.88126126812637651E-008   0.130929740E-002   0.000000000E+000
   0.88434260123171349E-008   0.152634841E-002   0.000000000E+000
   0.88742393433705047E-008   0.154633506E-002   0.000000000E+000
   0.89050526744238745E-008   0.136151910E-002   0.000000000E+000
   0.89358660054772443E-008   0.986799132E-003   0.000000000E+000
   0.89666793365306141E-008   0.457965885E-003   0.000000000E+000
   0.89974926675839839E-008  -0.172516971E-003   0.000000000E+000
   0.90283059986373537E-008  -0.841672590E-003   0.000000000E+000
   0.90591193296907235E-008  -0.148332468E-002   0.000000000E+000
   0.90899326607440933E-008  -0.203563552E-002   0.000000000E+000
   0.91207459917974631E-008  -0.244790898E-002   0.000000000E+000
   0.91515593228508330E-008  -0.268582022E-002   0.000000000E+000
   0.91823726539042028E-008  -0.273445179E-002   0.000000000E+000
   0.92131859849575726E-008  -0.259883213E-002   0.000000000E+000
   0.92439993160109424E-008  -0.230201264E-002   0.000000000E+000
   0.92748126470643122E-008  -0.188106531E-002   0.000000000E+000
   0.93056259781176820E-008  -0.138164579E-002   0.000000000E+000
   0.93364393091710518E-008  -0.851942925E-003   0.000000000E+000
   0.93672526402244216E-008  -0.336882018E-003   0.000000000E+000
   0.93980659712777914E-008   0.126639468E-003   0.000000000E+000
   0.94288793023311612E-008   0.512900297E-003   0.000000000E+000
   0.94596926333845310E-008   0.808589975E-003   0.000000000E+000
   0.94905059644379008E-008   0.101213716E-002   0.000000000E+000
   0.95213192954912707E-008   0.113144738E-002   0.000000000E+000
   0.95521326265446405E-008   0.118058722E-002   0.000000000E+000
   0.95829459575980103E-008   0.117609359E-002   0.000000000E+000
   0.96137592886513801E-008   0.113359268E-002   0.000000000E+000
   0.96445726197047499E-008   0.106530846E-002   0.000000000E+000
   0.96753859507581197E-008   0.978837372E-003   0.000000000E+000
