t              Noda2002a.fdtd_Point probe_Ex_12_12_2.dat
   0.24575999901799150E-007  -0.747096891E-007
   0.24671999901415553E-007  -0.747110604E-007
   0.24767999901031956E-007  -0.747299822E-007
   0.24863999900648359E-007  -0.747757838E-007
   0.24959999900264762E-007  -0.748215427E-007
   0.25055999899881165E-007  -0.748413029E-007
   0.25151999899497568E-007  -0.748458220E-007
   0.25247999899113971E-007  -0.748612479E-007
   0.25343999898730374E-007  -0.748895772E-007
   0.25439999898346777E-007  -0.749064526E-007
   0.25535999897963180E-007  -0.748966258E-007
   0.25631999897579583E-007  -0.748785851E-007
   0.25727999897195986E-007  -0.748827347E-007
   0.25823999896812388E-007  -0.749115614E-007
   0.25919999896428791E-007  -0.749367359E-007
   0.26015999896045194E-007  -0.749378870E-007
   0.26111999895661597E-007  -0.749298934E-007
   0.26207999895278000E-007  -0.749410560E-007
   0.26303999894894403E-007  -0.749728386E-007
   0.26399999894510806E-007  -0.749971250E-007
   0.26495999894127209E-007  -0.749946594E-007
   0.26591999893743612E-007  -0.749810738E-007
   0.26687999893360015E-007  -0.749851452E-007
   0.26783999892976418E-007  -0.750100924E-007
   0.26879999892592821E-007  -0.750311173E-007
   0.26975999892209224E-007  -0.750310036E-007
   0.27071999891825627E-007  -0.750234079E-007
   0.27167999891442030E-007  -0.750324745E-007
   0.27263999891058432E-007  -0.750585443E-007
   0.27359999890674835E-007  -0.750775726E-007
   0.27455999890291238E-007  -0.750736433E-007
   0.27551999889907641E-007  -0.750591980E-007
   0.27647999889524044E-007  -0.750561355E-007
   0.27743999889140447E-007  -0.750658060E-007
   0.27839999888756850E-007  -0.750687050E-007
   0.27935999888373253E-007  -0.750523981E-007
   0.28031999887989656E-007  -0.750279199E-007
   0.28127999887606059E-007  -0.750132187E-007
   0.28223999887222462E-007  -0.750078044E-007
   0.28319999886838865E-007  -0.749931957E-007
   0.28415999886455268E-007  -0.749568656E-007
   0.28511999886071671E-007  -0.749062679E-007
   0.28607999885688074E-007  -0.748555280E-007
   0.28703999885304476E-007  -0.748045608E-007
   0.28799999884920879E-007  -0.747390629E-007
   0.28895999884537282E-007  -0.746494493E-007
   0.28991999884153685E-007  -0.745422568E-007
   0.29087999883770088E-007  -0.744293303E-007
   0.29183999883386491E-007  -0.743106412E-007
   0.29279999883002894E-007  -0.741733928E-007
   0.29375999882619297E-007  -0.740071826E-007
   0.29471999882235700E-007  -0.738142631E-007
   0.29567999881852103E-007  -0.736023864E-007
   0.29663999881468506E-007  -0.733711047E-007
   0.29759999881084909E-007  -0.731098169E-007
   0.29855999880701312E-007  -0.728092289E-007
   0.29951999880317715E-007  -0.724706553E-007
   0.30047999879934117E-007  -0.721013649E-007
   0.30143999879550520E-007  -0.717027504E-007
   0.30239999879166923E-007  -0.712667187E-007
   0.30335999878783326E-007  -0.707841323E-007
   0.30431999878399729E-007  -0.702539467E-007
   0.30527999878016132E-007  -0.696814837E-007
   0.30623999877632535E-007  -0.690686051E-007
   0.30719999877248938E-007  -0.684088590E-007
   0.30815999876865341E-007  -0.676938896E-007
   0.30911999876481744E-007  -0.669226310E-007
   0.31007999876098147E-007  -0.661015065E-007
   0.31103999875714550E-007  -0.652353620E-007
   0.31199999875330953E-007  -0.643207727E-007
   0.31295999874947356E-007  -0.633505337E-007
   0.31391999874563759E-007  -0.623232737E-007
   0.31487999874180161E-007  -0.612454514E-007
   0.31583999873796564E-007  -0.601229786E-007
   0.31679999873412967E-007  -0.589536100E-007
   0.31775999873029370E-007  -0.577304746E-007
   0.31871999872645773E-007  -0.564523397E-007
   0.31967999872262176E-007  -0.551270780E-007
   0.32063999871878579E-007  -0.537632836E-007
   0.32159999871494982E-007  -0.523612016E-007
   0.32255999871111385E-007  -0.509150340E-007
   0.32351999870727788E-007  -0.494236794E-007
   0.32447999870344191E-007  -0.478952025E-007
   0.32543999869960594E-007  -0.463385952E-007
   0.32639999869576997E-007  -0.447538078E-007
   0.32735999869193400E-007  -0.431337313E-007
   0.32831999868809802E-007  -0.414760173E-007
   0.32927999868426205E-007  -0.397887874E-007
   0.33023999868042608E-007  -0.380823693E-007
   0.33119999867659011E-007  -0.363578856E-007
   0.33215999867275414E-007  -0.346084903E-007
   0.33311999866891817E-007  -0.328317498E-007
   0.33407999866508220E-007  -0.310363681E-007
   0.33503999866124623E-007  -0.292334708E-007
   0.33599999865741026E-007  -0.274240080E-007
   0.33695999865357429E-007  -0.255996682E-007
   0.33791999864973832E-007  -0.237567370E-007
   0.33887999864590235E-007  -0.219042455E-007
   0.33983999864206638E-007  -0.200549444E-007
   0.34079999863823041E-007  -0.182112281E-007
   0.34175999863439444E-007  -0.163655081E-007
   0.34271999863055846E-007  -0.145151615E-007
   0.34367999862672249E-007  -0.126716238E-007
   0.34463999862288652E-007  -0.108502434E-007
   0.34559999861905055E-007  -0.905421249E-008
   0.34655999861521458E-007  -0.727465377E-008
   0.34751999861137861E-007  -0.550734125E-008
   0.34847999860754264E-007  -0.376315246E-008
   0.34943999860370667E-007  -0.205723660E-008
   0.35039999859987070E-007  -0.391383703E-009
   0.35135999859603473E-007   0.124569988E-008
   0.35231999859219876E-007   0.285548007E-008
   0.35327999858836279E-007   0.442112746E-008
   0.35423999858452682E-007   0.592864158E-008
   0.35519999858069085E-007   0.738535899E-008
   0.35615999857685487E-007   0.881108164E-008
   0.35711999857301890E-007   0.102130464E-007
   0.35807999856918293E-007   0.115771366E-007
   0.35903999856534696E-007   0.128869884E-007
   0.35999999856151099E-007   0.141457726E-007
   0.36095999855767502E-007   0.153715316E-007
   0.36191999855383905E-007   0.165721783E-007
   0.36287999855000308E-007   0.177339921E-007
   0.36383999854616711E-007   0.188393567E-007
   0.36479999854233114E-007   0.198897503E-007
   0.36575999853849517E-007   0.209025881E-007
   0.36671999853465920E-007   0.218864873E-007
   0.36767999853082323E-007   0.228292745E-007
   0.36863999852698726E-007   0.237156499E-007
   0.36959999852315129E-007   0.245499727E-007
   0.37055999851931531E-007   0.253522998E-007
   0.37151999851547934E-007   0.261330690E-007
   0.37247999851164337E-007   0.268816223E-007
   0.37343999850780740E-007   0.275843561E-007
   0.37439999850397143E-007   0.282469124E-007
   0.37535999850013546E-007   0.288891151E-007
   0.37631999849629949E-007   0.295199065E-007
   0.37727999849246352E-007   0.301273246E-007
   0.37823999848862755E-007   0.306972971E-007
   0.37919999848479158E-007   0.312346913E-007
   0.38015999848095561E-007   0.317570752E-007
   0.38111999847711964E-007   0.322704032E-007
   0.38207999847328367E-007   0.327609477E-007
   0.38303999846944770E-007   0.332144232E-007
   0.38399999846561172E-007   0.336353061E-007
   0.38495999846177575E-007   0.340396653E-007
   0.38591999845793978E-007   0.344324498E-007
   0.38687999845410381E-007   0.348014808E-007
   0.38783999845026784E-007   0.351360185E-007
   0.38879999844643187E-007   0.354435130E-007
   0.38975999844259590E-007   0.357413867E-007
   0.39071999843875993E-007   0.360361234E-007
   0.39167999843492396E-007   0.363185819E-007
   0.39263999843108799E-007   0.365808255E-007
   0.39359999842725202E-007   0.368297783E-007
   0.39455999842341605E-007   0.370790083E-007
   0.39551999841958008E-007   0.373307678E-007
   0.39647999841574411E-007   0.375734110E-007
   0.39743999841190814E-007   0.377966103E-007
   0.39839999840807216E-007   0.380029128E-007
   0.39935999840423619E-007   0.382007279E-007
