t              pw-in-box.fdtd_inbox_Ex_3_3_3.dat       incid
   0.36667863953510071E-008  -0.205755398E-006   0.681093383E-037
   0.36821930608776920E-008  -0.221214520E-006   0.145555001E-037
   0.36975997264043770E-008  -0.211536886E-006   0.000000000E+000
   0.37130063919310619E-008  -0.210344211E-006   0.000000000E+000
   0.37284130574577468E-008  -0.210221884E-006   0.000000000E+000
   0.37438197229844317E-008  -0.194971065E-006   0.000000000E+000
   0.37592263885111166E-008  -0.194237117E-006   0.000000000E+000
   0.37746330540378015E-008  -0.212505185E-006   0.000000000E+000
   0.37900397195644864E-008  -0.213540105E-006   0.000000000E+000
   0.38054463850911713E-008  -0.205050895E-006   0.000000000E+000
   0.38208530506178562E-008  -0.213680480E-006   0.000000000E+000
   0.38362597161445411E-008  -0.213381085E-006   0.000000000E+000
   0.38516663816712260E-008  -0.190618749E-006   0.000000000E+000
   0.38670730471979109E-008  -0.188992985E-006   0.000000000E+000
   0.38824797127245958E-008  -0.215091475E-006   0.000000000E+000
   0.38978863782512807E-008  -0.221935480E-006   0.000000000E+000
   0.39132930437779656E-008  -0.207005584E-006   0.000000000E+000
   0.39286997093046505E-008  -0.202931915E-006   0.000000000E+000
   0.39441063748313354E-008  -0.203239708E-006   0.000000000E+000
   0.39595130403580203E-008  -0.196324223E-006   0.000000000E+000
   0.39749197058847052E-008  -0.200877864E-006   0.000000000E+000
   0.39903263714113901E-008  -0.213635786E-006   0.000000000E+000
   0.40057330369380750E-008  -0.211589281E-006   0.000000000E+000
   0.40211397024647599E-008  -0.205497244E-006   0.000000000E+000
   0.40365463679914448E-008  -0.208412018E-006   0.000000000E+000
   0.40519530335181297E-008  -0.202026015E-006   0.000000000E+000
   0.40673596990448146E-008  -0.190091953E-006   0.000000000E+000
   0.40827663645714996E-008  -0.200797587E-006   0.000000000E+000
   0.40981730300981845E-008  -0.219724043E-006   0.000000000E+000
   0.41135796956248694E-008  -0.214411926E-006   0.000000000E+000
   0.41289863611515543E-008  -0.199825891E-006   0.000000000E+000
   0.41443930266782392E-008  -0.199497421E-006   0.000000000E+000
   0.41597996922049241E-008  -0.200976118E-006   0.000000000E+000
   0.41752063577316090E-008  -0.198611573E-006   0.000000000E+000
   0.41906130232582939E-008  -0.205405513E-006   0.000000000E+000
