t              OneCable.fdtd_Bulk probe_Jx_30_23_25__30_26_34.dat
   0.12142256446069817E-007   0.709077952E-007
   0.12143797146037597E-007   0.633144595E-007
   0.12145337846005376E-007   0.557291600E-007
   0.12146878545973155E-007   0.481517652E-007
   0.12148419245940935E-007   0.405834193E-007
   0.12149959945908714E-007   0.330255041E-007
   0.12151500645876494E-007   0.254784407E-007
   0.12153041345844273E-007   0.179422113E-007
   0.12154582045812053E-007   0.104161373E-007
   0.12156122745779832E-007   0.289987390E-008
   0.12157663445747612E-007  -0.460617455E-008
   0.12159204145715391E-007  -0.121007524E-007
   0.12160744845683170E-007  -0.195826502E-007
   0.12162285545650950E-007  -0.270513087E-007
   0.12163826245618729E-007  -0.345068543E-007
   0.12165366945586509E-007  -0.419499102E-007
   0.12166907645554288E-007  -0.493803611E-007
   0.12168448345522068E-007  -0.567970524E-007
   0.12169989045489847E-007  -0.641984386E-007
   0.12171529745457627E-007  -0.715833934E-007
   0.12173070445425406E-007  -0.789519277E-007
   0.12174611145393185E-007  -0.863047589E-007
   0.12176151845360965E-007  -0.936423348E-007
   0.12177692545328744E-007  -0.100963916E-006
   0.12179233245296524E-007  -0.108268090E-006
   0.12180773945264303E-007  -0.115553341E-006
   0.12182314645232083E-007  -0.122819230E-006
   0.12183855345199862E-007  -0.130066496E-006
   0.12185396045167642E-007  -0.137296553E-006
   0.12186936745135421E-007  -0.144509798E-006
   0.12188477445103200E-007  -0.151705308E-006
   0.12190018145070980E-007  -0.158880951E-006
   0.12191558845038759E-007  -0.166035178E-006
   0.12193099545006539E-007  -0.173167933E-006
   0.12194640244974318E-007  -0.180280878E-006
   0.12196180944942098E-007  -0.187375491E-006
   0.12197721644909877E-007  -0.194451857E-006
   0.12199262344877657E-007  -0.201508300E-006
   0.12200803044845436E-007  -0.208542559E-006
   0.12202343744813215E-007  -0.215553513E-006
   0.12203884444780995E-007  -0.222541658E-006
   0.12205425144748774E-007  -0.229508728E-006
   0.12206965844716554E-007  -0.236455179E-006
   0.12208506544684333E-007  -0.243380157E-006
   0.12210047244652113E-007  -0.250281715E-006
   0.12211587944619892E-007  -0.257157808E-006
   0.12213128644587672E-007  -0.264008122E-006
   0.12214669344555451E-007  -0.270833681E-006
   0.12216210044523231E-007  -0.277635536E-006
   0.12217750744491010E-007  -0.284414085E-006
   0.12219291444458789E-007  -0.291167964E-006
   0.12220832144426569E-007  -0.297894729E-006
   0.12222372844394348E-007  -0.304593016E-006
   0.12223913544362128E-007  -0.311263136E-006
   0.12225454244329907E-007  -0.317906569E-006
   0.12226994944297687E-007  -0.324524734E-006
   0.12228535644265466E-007  -0.331117633E-006
   0.12230076344233246E-007  -0.337683218E-006
   0.12231617044201025E-007  -0.344219416E-006
   0.12233157744168804E-007  -0.350725770E-006
   0.12234698444136584E-007  -0.357203163E-006
   0.12236239144104363E-007  -0.363653328E-006
   0.12237779844072143E-007  -0.370076947E-006
   0.12239320544039922E-007  -0.376473281E-006
   0.12240861244007702E-007  -0.382840170E-006
   0.12242401943975481E-007  -0.389176165E-006
   0.12243942643943261E-007  -0.395481237E-006
   0.12245483343911040E-007  -0.401756921E-006
   0.12247024043878819E-007  -0.408004581E-006
   0.12248564743846599E-007  -0.414223763E-006
   0.12250105443814378E-007  -0.420412135E-006
   0.12251646143782158E-007  -0.426567397E-006
   0.12253186843749937E-007  -0.432689006E-006
   0.12254727543717717E-007  -0.438778557E-006
   0.12256268243685496E-007  -0.444837752E-006
   0.12257808943653276E-007  -0.450866992E-006
   0.12259349643621055E-007  -0.456864200E-006
   0.12260890343588834E-007  -0.462826449E-006
   0.12262431043556614E-007  -0.468752376E-006
   0.12263971743524393E-007  -0.474642690E-006
   0.12265512443492173E-007  -0.480499523E-006
   0.12267053143459952E-007  -0.486324382E-006
   0.12268593843427732E-007  -0.492116669E-006
   0.12270134543395511E-007  -0.497874566E-006
   0.12271675243363291E-007  -0.503595743E-006
   0.12273215943331070E-007  -0.509280198E-006
   0.12274756643298849E-007  -0.514928672E-006
   0.12276297343266629E-007  -0.520543153E-006
   0.12277838043234408E-007  -0.526124268E-006
   0.12279378743202188E-007  -0.531670935E-006
   0.12280919443169967E-007  -0.537181336E-006
   0.12282460143137747E-007  -0.542654504E-006
   0.12284000843105526E-007  -0.548090384E-006
