t              LineCurrent.fdtd_Probe_Start_Ez_10_25_10.dat
   0.87049548179538722E-009  -0.214849980E+005
   0.87203618176316666E-009  -0.217703555E+005
   0.87357688173094611E-009  -0.220582148E+005
   0.87511758169872556E-009  -0.223485762E+005
   0.87665828166650500E-009  -0.226414395E+005
   0.87819898163428445E-009  -0.229368047E+005
   0.87973968160206389E-009  -0.232346680E+005
   0.88128038156984334E-009  -0.235350273E+005
   0.88282108153762279E-009  -0.238378770E+005
   0.88436178150540223E-009  -0.241432168E+005
   0.88590248147318168E-009  -0.244510430E+005
   0.88744318144096113E-009  -0.247613516E+005
   0.88898388140874057E-009  -0.250741367E+005
   0.89052458137652002E-009  -0.253893926E+005
   0.89206528134429947E-009  -0.257071152E+005
   0.89360598131207891E-009  -0.260272969E+005
   0.89514668127985836E-009  -0.263499336E+005
   0.89668738124763780E-009  -0.266750137E+005
   0.89822808121541725E-009  -0.270025332E+005
   0.89976878118319670E-009  -0.273324824E+005
   0.90130948115097614E-009  -0.276648516E+005
   0.90285018111875559E-009  -0.279996309E+005
   0.90439088108653504E-009  -0.283368125E+005
   0.90593158105431448E-009  -0.286763848E+005
   0.90747228102209393E-009  -0.290183398E+005
   0.90901298098987338E-009  -0.293626621E+005
   0.91055368095765282E-009  -0.297093418E+005
   0.91209438092543227E-009  -0.300583652E+005
   0.91363508089321172E-009  -0.304097168E+005
   0.91517578086099116E-009  -0.307633887E+005
   0.91671648082877061E-009  -0.311193633E+005
   0.91825718079655005E-009  -0.314776270E+005
   0.91979788076432950E-009  -0.318381641E+005
   0.92133858073210895E-009  -0.322009570E+005
   0.92287928069988839E-009  -0.325659902E+005
   0.92441998066766784E-009  -0.329332461E+005
   0.92596068063544729E-009  -0.333027070E+005
   0.92750138060322673E-009  -0.336743555E+005
   0.92904208057100618E-009  -0.340481758E+005
   0.93058278053878563E-009  -0.344241445E+005
   0.93212348050656507E-009  -0.348022422E+005
   0.93366418047434452E-009  -0.351824492E+005
   0.93520488044212396E-009  -0.355647461E+005
   0.93674558040990341E-009  -0.359491094E+005
   0.93828628037768286E-009  -0.363355156E+005
   0.93982698034546230E-009  -0.367239414E+005
   0.94136768031324175E-009  -0.371143633E+005
   0.94290838028102120E-009  -0.375067617E+005
   0.94444908024880064E-009  -0.379011094E+005
   0.94598978021658009E-009  -0.382973789E+005
   0.94753048018435954E-009  -0.386955469E+005
   0.94907118015213898E-009  -0.390955859E+005
   0.95061188011991843E-009  -0.394974648E+005
   0.95215258008769788E-009  -0.399011641E+005
   0.95369328005547732E-009  -0.403066523E+005
