t              LineCurrent.fdtd_Point probe_Ex_50_25_30.dat
   0.15625779073219145E-007   0.858721161E+001
   0.15627319773186925E-007   0.854205513E+001
   0.15628860473154704E-007   0.849920559E+001
   0.15630401173122484E-007   0.845879364E+001
   0.15631941873090263E-007   0.842075253E+001
   0.15633482573058043E-007   0.838488770E+001
   0.15635023273025822E-007   0.835106564E+001
   0.15636563972993602E-007   0.831933784E+001
   0.15638104672961381E-007   0.828986835E+001
   0.15639645372929160E-007   0.826276779E+001
   0.15641186072896940E-007   0.823798752E+001
   0.15642726772864719E-007   0.821538925E+001
   0.15644267472832499E-007   0.819489765E+001
   0.15645808172800278E-007   0.817657757E+001
   0.15647348872768058E-007   0.816056156E+001
   0.15648889572735837E-007   0.814689827E+001
   0.15650430272703617E-007   0.813550377E+001
   0.15651970972671396E-007   0.812624454E+001
   0.15653511672639175E-007   0.811907864E+001
   0.15655052372606955E-007   0.811408901E+001
   0.15656593072574734E-007   0.811138535E+001
   0.15658133772542514E-007   0.811097336E+001
   0.15659674472510293E-007   0.811273956E+001
   0.15661215172478073E-007   0.811656666E+001
   0.15662755872445852E-007   0.812244892E+001
   0.15664296572413632E-007   0.813050079E+001
   0.15665837272381411E-007   0.814083195E+001
   0.15667377972349190E-007   0.815342617E+001
   0.15668918672316970E-007   0.816815281E+001
   0.15670459372284749E-007   0.818489456E+001
   0.15672000072252529E-007   0.820366573E+001
   0.15673540772220308E-007   0.822458935E+001
   0.15675081472188088E-007   0.824775505E+001
   0.15676622172155867E-007   0.827310562E+001
   0.15678162872123647E-007   0.830047607E+001
   0.15679703572091426E-007   0.832975006E+001
   0.15681244272059205E-007   0.836097717E+001
   0.15682784972026985E-007   0.839431763E+001
   0.15684325671994764E-007   0.842987156E+001
   0.15685866371962544E-007   0.846756172E+001
   0.15687407071930323E-007   0.850718975E+001
   0.15688947771898103E-007   0.854862499E+001
   0.15690488471865882E-007   0.859191990E+001
   0.15692029171833662E-007   0.863725281E+001
   0.15693569871801441E-007   0.868473625E+001
   0.15695110571769220E-007   0.873429298E+001
   0.15696651271737000E-007   0.878571987E+001
   0.15698191971704779E-007   0.883887386E+001
   0.15699732671672559E-007   0.889380074E+001
   0.15701273371640338E-007   0.895067024E+001
   0.15702814071608118E-007   0.900958538E+001
   0.15704354771575897E-007   0.907046223E+001
   0.15705895471543677E-007   0.913309383E+001
   0.15707436171511456E-007   0.919734001E+001
   0.15708976871479235E-007   0.926324558E+001
   0.15710517571447015E-007   0.933097839E+001
   0.15712058271414794E-007   0.940064621E+001
   0.15713598971382574E-007   0.947217751E+001
   0.15715139671350353E-007   0.954538155E+001
   0.15716680371318133E-007   0.962012386E+001
   0.15718221071285912E-007   0.969643402E+001
   0.15719761771253692E-007   0.977445030E+001
   0.15721302471221471E-007   0.985424900E+001
   0.15722843171189251E-007   0.993575096E+001
   0.15724383871157030E-007   0.100187902E+002
   0.15725924571124809E-007   0.101032648E+002
   0.15727465271092589E-007   0.101892214E+002
   0.15729005971060368E-007   0.102767801E+002
   0.15730546671028148E-007   0.103659887E+002
   0.15732087370995927E-007   0.104567471E+002
   0.15733628070963707E-007   0.105488920E+002
   0.15735168770931486E-007   0.106423397E+002
   0.15736709470899266E-007   0.107371483E+002
   0.15738250170867045E-007   0.108334379E+002
   0.15739790870834824E-007   0.109312401E+002
   0.15741331570802604E-007   0.110304422E+002
   0.15742872270770383E-007   0.111308813E+002
   0.15744412970738163E-007   0.112324839E+002
   0.15745953670705942E-007   0.113353195E+002
   0.15747494370673722E-007   0.114395056E+002
   0.15749035070641501E-007   0.115450640E+002
   0.15750575770609281E-007   0.116518717E+002
   0.15752116470577060E-007   0.117597637E+002
   0.15753657170544839E-007   0.118686686E+002
   0.15755197870512619E-007   0.119786577E+002
   0.15756738570480398E-007   0.120898409E+002
   0.15758279270448178E-007   0.122022247E+002
   0.15759819970415957E-007   0.123156834E+002
   0.15761360670383737E-007   0.124300566E+002
   0.15762901370351516E-007   0.125452843E+002
   0.15764442070319296E-007   0.126614437E+002
   0.15765982770287075E-007   0.127786417E+002
   0.15767523470254854E-007   0.128968849E+002
   0.15769064170222634E-007   0.130160503E+002
   0.15770604870190413E-007   0.131359863E+002
   0.15772145570158193E-007   0.132566395E+002
   0.15773686270125972E-007   0.133780756E+002
   0.15775226970093752E-007   0.135003796E+002
