t              WireAirBox.fdtd_Point probe A_Ez_50_50_25.dat       incid
   0.14420638932977070E-007   0.447302082E-004   0.000000000E+000
   0.14451452264030440E-007  -0.237115601E-004   0.000000000E+000
   0.14482265595083810E-007  -0.604933339E-004   0.000000000E+000
   0.14513078926137180E-007  -0.219283647E-004   0.000000000E+000
   0.14543892257190549E-007   0.359898986E-004   0.000000000E+000
   0.14574705588243919E-007   0.442908240E-004   0.000000000E+000
   0.14605518919297289E-007   0.760753392E-005   0.000000000E+000
   0.14636332250350659E-007  -0.241201669E-004   0.000000000E+000
   0.14667145581404029E-007  -0.286850172E-004   0.000000000E+000
   0.14697958912457398E-007  -0.169028717E-004   0.000000000E+000
   0.14728772243510768E-007   0.564632137E-005   0.000000000E+000
   0.14759585574564138E-007   0.345566514E-004   0.000000000E+000
   0.14790398905617508E-007   0.397356125E-004   0.000000000E+000
   0.14821212236670878E-007  -0.430172440E-005   0.000000000E+000
   0.14852025567724247E-007  -0.598834777E-004   0.000000000E+000
   0.14882838898777617E-007  -0.520831818E-004   0.000000000E+000
   0.14913652229830987E-007   0.261036475E-004   0.000000000E+000
   0.14944465560884357E-007   0.826562682E-004   0.000000000E+000
   0.14975278891937727E-007   0.401142897E-004   0.000000000E+000
   0.15006092222991096E-007  -0.538319291E-004   0.000000000E+000
   0.15036905554044466E-007  -0.825929237E-004   0.000000000E+000
   0.15067718885097836E-007  -0.135637092E-004   0.000000000E+000
   0.15098532216151206E-007   0.637842386E-004   0.000000000E+000
   0.15129345547204576E-007   0.607884067E-004   0.000000000E+000
   0.15160158878257946E-007  -0.399696728E-005   0.000000000E+000
   0.15190972209311315E-007  -0.490915991E-004   0.000000000E+000
   0.15221785540364685E-007  -0.380089514E-004   0.000000000E+000
   0.15252598871418055E-007  -0.879095751E-006   0.000000000E+000
   0.15283412202471425E-007   0.259069948E-004   0.000000000E+000
   0.15314225533524795E-007   0.329126560E-004   0.000000000E+000
   0.15345038864578164E-007   0.183720949E-004   0.000000000E+000
   0.15375852195631534E-007  -0.161616372E-004   0.000000000E+000
   0.15406665526684904E-007  -0.433481691E-004   0.000000000E+000
   0.15437478857738274E-007  -0.261238729E-004   0.000000000E+000
   0.15468292188791644E-007   0.252844129E-004   0.000000000E+000
   0.15499105519845013E-007   0.492649997E-004   0.000000000E+000
   0.15529918850898383E-007   0.126102968E-004   0.000000000E+000
   0.15560732181951753E-007  -0.370744419E-004   0.000000000E+000
   0.15591545513005123E-007  -0.347332571E-004   0.000000000E+000
   0.15622358844058493E-007   0.103673956E-004   0.000000000E+000
   0.15653172175111862E-007   0.321585612E-004   0.000000000E+000
   0.15683985506165232E-007   0.631042349E-005   0.000000000E+000
   0.15714798837218602E-007  -0.209793961E-004   0.000000000E+000
   0.15745612168271972E-007  -0.104638257E-004   0.000000000E+000
   0.15776425499325342E-007   0.138744708E-004   0.000000000E+000
   0.15807238830378711E-007   0.118757889E-004   0.000000000E+000
