t              AirBox.fdtd_Point probe C_Hy_75_50_13.dat       incid
   0.24188464876895299E-007   0.545221042E-006   0.000000000E+000
   0.24219278207948669E-007   0.776869967E-006   0.000000000E+000
   0.24250091539002039E-007   0.402135583E-006   0.000000000E+000
   0.24280904870055409E-007  -0.306523646E-006   0.000000000E+000
   0.24311718201108778E-007  -0.778586468E-006   0.000000000E+000
   0.24342531532162148E-007  -0.590929403E-006   0.000000000E+000
   0.24373344863215518E-007   0.111067095E-006   0.000000000E+000
   0.24404158194268888E-007   0.698365511E-006   0.000000000E+000
   0.24434971525322258E-007   0.653517361E-006   0.000000000E+000
   0.24465784856375627E-007   0.621344611E-007   0.000000000E+000
   0.24496598187428997E-007  -0.521162633E-006   0.000000000E+000
   0.24527411518482367E-007  -0.628734711E-006   0.000000000E+000
   0.24558224849535737E-007  -0.243695155E-006   0.000000000E+000
   0.24589038180589107E-007   0.291723239E-006   0.000000000E+000
   0.24619851511642477E-007   0.581014319E-006   0.000000000E+000
   0.24650664842695846E-007   0.416996897E-006   0.000000000E+000
   0.24681478173749216E-007  -0.892662797E-007   0.000000000E+000
   0.24712291504802586E-007  -0.538111578E-006   0.000000000E+000
   0.24743104835855956E-007  -0.527033819E-006   0.000000000E+000
   0.24773918166909326E-007  -0.425418989E-007   0.000000000E+000
   0.24804731497962695E-007   0.470748319E-006   0.000000000E+000
   0.24835544829016065E-007   0.535353934E-006   0.000000000E+000
   0.24866358160069435E-007   0.125131095E-006   0.000000000E+000
   0.24897171491122805E-007  -0.343587345E-006   0.000000000E+000
   0.24927984822176175E-007  -0.468352539E-006   0.000000000E+000
   0.24958798153229544E-007  -0.211960554E-006   0.000000000E+000
   0.24989611484282914E-007   0.168739831E-006   0.000000000E+000
   0.25020424815336284E-007   0.393287280E-006   0.000000000E+000
   0.25051238146389654E-007   0.319331548E-006   0.000000000E+000
   0.25082051477443024E-007  -0.990314675E-008   0.000000000E+000
   0.25112864808496393E-007  -0.355079919E-006   0.000000000E+000
   0.25143678139549763E-007  -0.406956673E-006   0.000000000E+000
   0.25174491470603133E-007  -0.796667052E-007   0.000000000E+000
   0.25205304801656503E-007   0.332493670E-006   0.000000000E+000
   0.25236118132709873E-007   0.420635729E-006   0.000000000E+000
   0.25266931463763243E-007   0.107353003E-006   0.000000000E+000
   0.25297744794816612E-007  -0.272189396E-006   0.000000000E+000
   0.25328558125869982E-007  -0.358698458E-006   0.000000000E+000
   0.25359371456923352E-007  -0.132416858E-006   0.000000000E+000
   0.25390184787976722E-007   0.153112893E-006   0.000000000E+000
   0.25420998119030092E-007   0.277800950E-006   0.000000000E+000
   0.25451811450083461E-007   0.197245171E-006   0.000000000E+000
   0.25482624781136831E-007  -0.199903809E-007   0.000000000E+000
   0.25513438112190201E-007  -0.240175581E-006   0.000000000E+000
   0.25544251443243571E-007  -0.282581254E-006   0.000000000E+000
   0.25575064774296941E-007  -0.613355269E-007   0.000000000E+000
   0.25605878105350310E-007   0.248653123E-006   0.000000000E+000
   0.25636691436403680E-007   0.326387323E-006   0.000000000E+000
   0.25667504767457050E-007   0.697050382E-007   0.000000000E+000
   0.25698318098510420E-007  -0.250493400E-006   0.000000000E+000
   0.25729131429563790E-007  -0.296508432E-006   0.000000000E+000
   0.25759944760617159E-007  -0.530057775E-007   0.000000000E+000
   0.25790758091670529E-007   0.196526912E-006   0.000000000E+000
   0.25821571422723899E-007   0.227193652E-006   0.000000000E+000
   0.25852384753777269E-007   0.744712452E-007   0.000000000E+000
   0.25883198084830639E-007  -0.999801131E-007   0.000000000E+000
   0.25914011415884008E-007  -0.189023382E-006   0.000000000E+000
   0.25944824746937378E-007  -0.149237607E-006   0.000000000E+000
   0.25975638077990748E-007   0.212893667E-007   0.000000000E+000
   0.26006451409044118E-007   0.214461011E-006   0.000000000E+000
   0.26037264740097488E-007   0.229101289E-006   0.000000000E+000
   0.26068078071150858E-007  -0.491040453E-008   0.000000000E+000
   0.26098891402204227E-007  -0.268163035E-006   0.000000000E+000
   0.26129704733257597E-007  -0.261017334E-006   0.000000000E+000
   0.26160518064310967E-007   0.269040754E-007   0.000000000E+000
   0.26191331395364337E-007   0.283901812E-006   0.000000000E+000
   0.26222144726417707E-007   0.244563068E-006   0.000000000E+000
   0.26252958057471076E-007  -0.208235633E-007   0.000000000E+000
   0.26283771388524446E-007  -0.236480972E-006   0.000000000E+000
   0.26314584719577816E-007  -0.234376316E-006   0.000000000E+000
   0.26345398050631186E-007  -0.563381519E-007   0.000000000E+000
   0.26376211381684556E-007   0.160663603E-006   0.000000000E+000
   0.26407024712737925E-007   0.276020813E-006   0.000000000E+000
   0.26437838043791295E-007   0.179214766E-006   0.000000000E+000
   0.26468651374844665E-007  -0.108828914E-006   0.000000000E+000
   0.26499464705898035E-007  -0.355363596E-006   0.000000000E+000
   0.26530278036951405E-007  -0.286363274E-006   0.000000000E+000
   0.26561091368004774E-007   0.862035847E-007   0.000000000E+000
   0.26591904699058144E-007   0.406848045E-006   0.000000000E+000
   0.26622718030111514E-007   0.342519684E-006   0.000000000E+000
   0.26653531361164884E-007  -0.460755984E-007   0.000000000E+000
   0.26684344692218254E-007  -0.380865828E-006   0.000000000E+000
   0.26715158023271623E-007  -0.371182466E-006   0.000000000E+000
   0.26745971354324993E-007  -0.599542318E-007   0.000000000E+000
   0.26776784685378363E-007   0.286522123E-006   0.000000000E+000
   0.26807598016431733E-007   0.414533957E-006   0.000000000E+000
   0.26838411347485103E-007   0.223413380E-006   0.000000000E+000
   0.26869224678538473E-007  -0.175926729E-006   0.000000000E+000
   0.26900038009591842E-007  -0.478152458E-006   0.000000000E+000
   0.26930851340645212E-007  -0.385114390E-006   0.000000000E+000
   0.26961664671698582E-007   0.811224083E-007   0.000000000E+000
   0.26992478002751952E-007   0.513259920E-006   0.000000000E+000
   0.27023291333805322E-007   0.488808496E-006   0.000000000E+000
   0.27054104664858691E-007   0.155000919E-007   0.000000000E+000
   0.27084917995912061E-007  -0.467041701E-006   0.000000000E+000
   0.27115731326965431E-007  -0.532742376E-006   0.000000000E+000
   0.27146544658018801E-007  -0.154110211E-006   0.000000000E+000
   0.27177357989072171E-007   0.334991711E-006   0.000000000E+000
   0.27208171320125540E-007   0.553380517E-006   0.000000000E+000
   0.27238984651178910E-007   0.337455845E-006   0.000000000E+000
   0.27269797982232280E-007  -0.166552809E-006   0.000000000E+000
   0.27300611313285650E-007  -0.573868419E-006   0.000000000E+000
   0.27331424644339020E-007  -0.517362309E-006   0.000000000E+000
   0.27362237975392389E-007   0.108972245E-007   0.000000000E+000
   0.27393051306445759E-007   0.568111318E-006   0.000000000E+000
   0.27423864637499129E-007   0.632770139E-006   0.000000000E+000
   0.27454677968552499E-007   0.126253894E-006   0.000000000E+000
   0.27485491299605869E-007  -0.489998115E-006   0.000000000E+000
   0.27516304630659238E-007  -0.667382722E-006   0.000000000E+000
   0.27547117961712608E-007  -0.277707954E-006   0.000000000E+000
   0.27577931292765978E-007   0.325257247E-006   0.000000000E+000
   0.27608744623819348E-007   0.653645770E-006   0.000000000E+000
   0.27639557954872718E-007   0.459114858E-006   0.000000000E+000
   0.27670371285926088E-007  -0.115806756E-006   0.000000000E+000
   0.27701184616979457E-007  -0.628941280E-006   0.000000000E+000
   0.27731997948032827E-007  -0.638084714E-006   0.000000000E+000
   0.27762811279086197E-007  -0.817773866E-007   0.000000000E+000
   0.27793624610139567E-007   0.586173371E-006   0.000000000E+000
   0.27824437941192937E-007   0.755104224E-006   0.000000000E+000
   0.27855251272246306E-007   0.246236368E-006   0.000000000E+000
   0.27886064603299676E-007  -0.484674615E-006   0.000000000E+000
   0.27916877934353046E-007  -0.781586550E-006   0.000000000E+000
   0.27947691265406416E-007  -0.403928595E-006   0.000000000E+000
   0.27978504596459786E-007   0.298058126E-006   0.000000000E+000
   0.28009317927513155E-007   0.740285770E-006   0.000000000E+000
   0.28040131258566525E-007   0.581326844E-006   0.000000000E+000
   0.28070944589619895E-007  -0.543046212E-007   0.000000000E+000
   0.28101757920673265E-007  -0.675034073E-006   0.000000000E+000
   0.28132571251726635E-007  -0.761496267E-006   0.000000000E+000
   0.28163384582780004E-007  -0.187697935E-006   0.000000000E+000
   0.28194197913833374E-007   0.594305902E-006   0.000000000E+000
   0.28225011244886744E-007   0.885576924E-006   0.000000000E+000
   0.28255824575940114E-007   0.389740364E-006   0.000000000E+000
   0.28286637906993484E-007  -0.463485662E-006   0.000000000E+000
   0.28317451238046853E-007  -0.908501420E-006   0.000000000E+000
   0.28348264569100223E-007  -0.564628522E-006   0.000000000E+000
   0.28379077900153593E-007   0.245990066E-006   0.000000000E+000
   0.28409891231206963E-007   0.836422259E-006   0.000000000E+000
   0.28440704562260333E-007   0.741328108E-006   0.000000000E+000
   0.28471517893313703E-007   0.435961738E-007   0.000000000E+000
   0.28502331224367072E-007  -0.714062253E-006   0.000000000E+000
   0.28533144555420442E-007  -0.915049895E-006   0.000000000E+000
   0.28563957886473812E-007  -0.343907175E-006   0.000000000E+000
   0.28594771217527182E-007   0.567918505E-006   0.000000000E+000
   0.28625584548580552E-007   0.103029492E-005   0.000000000E+000
   0.28656397879633921E-007   0.594610015E-006   0.000000000E+000
   0.28687211210687291E-007  -0.380102961E-006   0.000000000E+000
   0.28718024541740661E-007  -0.102812464E-005   0.000000000E+000
   0.28748837872794031E-007  -0.784913595E-006   0.000000000E+000
   0.28779651203847401E-007   0.114347870E-006   0.000000000E+000
   0.28810464534900770E-007   0.897902623E-006   0.000000000E+000
   0.28841277865954140E-007   0.939416338E-006   0.000000000E+000
   0.28872091197007510E-007   0.223917652E-006   0.000000000E+000
   0.28902904528060880E-007  -0.686473641E-006   0.000000000E+000
   0.28933717859114250E-007  -0.106800667E-005   0.000000000E+000
   0.28964531190167619E-007  -0.571979456E-006   0.000000000E+000
   0.28995344521220989E-007   0.445210560E-006   0.000000000E+000
   0.29026157852274359E-007   0.112993564E-005   0.000000000E+000
   0.29056971183327729E-007   0.849563662E-006   0.000000000E+000
   0.29087784514381099E-007  -0.185430849E-006   0.000000000E+000
   0.29118597845434468E-007  -0.106602658E-005   0.000000000E+000
   0.29149411176487838E-007  -0.102147567E-005   0.000000000E+000
   0.29180224507541208E-007  -0.117316006E-006   0.000000000E+000
   0.29211037838594578E-007   0.855588098E-006   0.000000000E+000
   0.29241851169647948E-007   0.110679161E-005   0.000000000E+000
   0.29272664500701318E-007   0.466882625E-006   0.000000000E+000
   0.29303477831754687E-007  -0.546270257E-006   0.000000000E+000
   0.29334291162808057E-007  -0.113765600E-005   0.000000000E+000
   0.29365104493861427E-007  -0.812461678E-006   0.000000000E+000
   0.29395917824914797E-007   0.214011322E-006   0.000000000E+000
   0.29426731155968167E-007   0.110564542E-005   0.000000000E+000
   0.29457544487021536E-007   0.106881953E-005   0.000000000E+000
   0.29488357818074906E-007   0.954228199E-007   0.000000000E+000
   0.29519171149128276E-007  -0.967465780E-006   0.000000000E+000
   0.29549984480181646E-007  -0.118352466E-005   0.000000000E+000
   0.29580797811235016E-007  -0.390473133E-006   0.000000000E+000
   0.29611611142288385E-007   0.696048232E-006   0.000000000E+000
   0.29642424473341755E-007   0.117030015E-005   0.000000000E+000
   0.29673237804395125E-007   0.689633794E-006   0.000000000E+000
   0.29704051135448495E-007  -0.329486170E-006   0.000000000E+000
   0.29734864466501865E-007  -0.108360939E-005   0.000000000E+000
   0.29765677797555234E-007  -0.971474947E-006   0.000000000E+000
   0.29796491128608604E-007  -0.479963660E-007   0.000000000E+000
   0.29827304459661974E-007   0.953882363E-006   0.000000000E+000
   0.29858117790715344E-007   0.116748208E-005   0.000000000E+000
   0.29888931121768714E-007   0.365814003E-006   0.000000000E+000
   0.29919744452822084E-007  -0.763856747E-006   0.000000000E+000
   0.29950557783875453E-007  -0.121888172E-005   0.000000000E+000
   0.29981371114928823E-007  -0.615627641E-006   0.000000000E+000
   0.30012184445982193E-007   0.481573693E-006   0.000000000E+000
   0.30042997777035563E-007   0.112730413E-005   0.000000000E+000
   0.30073811108088933E-007   0.828397788E-006   0.000000000E+000
   0.30104624439142302E-007  -0.121065455E-006   0.000000000E+000
   0.30135437770195672E-007  -0.953369351E-006   0.000000000E+000
   0.30166251101249042E-007  -0.101835212E-005   0.000000000E+000
   0.30197064432302412E-007  -0.248978097E-006   0.000000000E+000
   0.30227877763355782E-007   0.755335520E-006   0.000000000E+000
   0.30258691094409151E-007   0.114770432E-005   0.000000000E+000
   0.30289504425462521E-007   0.549883453E-006   0.000000000E+000
   0.30320317756515891E-007  -0.543192868E-006   0.000000000E+000
   0.30351131087569261E-007  -0.116004037E-005   0.000000000E+000
   0.30381944418622631E-007  -0.754751682E-006   0.000000000E+000
