t              AirBox.fdtd_Point probe A_Ex_25_50_13.dat       incid
   0.21137945102611688E-007   0.785770681E-004   0.000000000E+000
   0.21168758433665058E-007  -0.682640530E-005   0.000000000E+000
   0.21199571764718428E-007  -0.871732336E-004   0.000000000E+000
   0.21230385095771798E-007  -0.898709259E-004   0.000000000E+000
   0.21261198426825167E-007  -0.101828846E-004   0.000000000E+000
   0.21292011757878537E-007   0.867111594E-004   0.000000000E+000
   0.21322825088931907E-007   0.114526745E-003   0.000000000E+000
   0.21353638419985277E-007   0.369810441E-004   0.000000000E+000
   0.21384451751038647E-007  -0.880856096E-004   0.000000000E+000
   0.21415265082092017E-007  -0.145013284E-003   0.000000000E+000
   0.21446078413145386E-007  -0.678889846E-004   0.000000000E+000
   0.21476891744198756E-007   0.820427449E-004   0.000000000E+000
   0.21507705075252126E-007   0.165006277E-003   0.000000000E+000
   0.21538518406305496E-007   0.995217488E-004   0.000000000E+000
   0.21569331737358866E-007  -0.571401251E-004   0.000000000E+000
   0.21600145068412235E-007  -0.167101796E-003   0.000000000E+000
   0.21630958399465605E-007  -0.138204967E-003   0.000000000E+000
   0.21661771730518975E-007   0.565293885E-005   0.000000000E+000
   0.21692585061572345E-007   0.152423891E-003   0.000000000E+000
   0.21723398392625715E-007   0.184496035E-003   0.000000000E+000
   0.21754211723679084E-007   0.628615526E-004   0.000000000E+000
   0.21785025054732454E-007  -0.129179272E-003   0.000000000E+000
   0.21815838385785824E-007  -0.229797079E-003   0.000000000E+000
   0.21846651716839194E-007  -0.132532325E-003   0.000000000E+000
   0.21877465047892564E-007   0.957369048E-004   0.000000000E+000
   0.21908278378945933E-007   0.252674101E-003   0.000000000E+000
   0.21939091709999303E-007   0.188466220E-003   0.000000000E+000
   0.21969905041052673E-007  -0.436434493E-004   0.000000000E+000
   0.22000718372106043E-007  -0.238064968E-003   0.000000000E+000
   0.22031531703159413E-007  -0.231401471E-003   0.000000000E+000
   0.22062345034212782E-007  -0.377184042E-004   0.000000000E+000
   0.22093158365266152E-007   0.184795048E-003   0.000000000E+000
   0.22123971696319522E-007   0.266336079E-003   0.000000000E+000
   0.22154785027372892E-007   0.140393793E-003   0.000000000E+000
   0.22185598358426262E-007  -0.110292865E-003   0.000000000E+000
   0.22216411689479632E-007  -0.293360557E-003   0.000000000E+000
   0.22247225020533001E-007  -0.241317248E-003   0.000000000E+000
   0.22278038351586371E-007   0.294129277E-004   0.000000000E+000
   0.22308851682639741E-007   0.294942816E-003   0.000000000E+000
   0.22339665013693111E-007   0.311298674E-003   0.000000000E+000
   0.22370478344746481E-007   0.529763929E-004   0.000000000E+000
   0.22401291675799850E-007  -0.252226775E-003   0.000000000E+000
   0.22432105006853220E-007  -0.339162303E-003   0.000000000E+000
   0.22462918337906590E-007  -0.145161204E-003   0.000000000E+000
   0.22493731668959960E-007   0.158115377E-003   0.000000000E+000
   0.22524545000013330E-007   0.330670038E-003   0.000000000E+000
   0.22555358331066699E-007   0.246768410E-003   0.000000000E+000
   0.22586171662120069E-007  -0.322771957E-004   0.000000000E+000
   0.22616984993173439E-007  -0.301185471E-003   0.000000000E+000
   0.22647798324226809E-007  -0.341911073E-003   0.000000000E+000
   0.22678611655280179E-007  -0.954454881E-004   0.000000000E+000
   0.22709424986333548E-007   0.252384867E-003   0.000000000E+000
   0.22740238317386918E-007   0.399147713E-003   0.000000000E+000
   0.22771051648440288E-007   0.200782684E-003   0.000000000E+000
   0.22801864979493658E-007  -0.175185487E-003   0.000000000E+000
   0.22832678310547028E-007  -0.398215663E-003   0.000000000E+000
   0.22863491641600397E-007  -0.282290159E-003   0.000000000E+000
   0.22894304972653767E-007   0.594200974E-004   0.000000000E+000
   0.22925118303707137E-007   0.340243627E-003   0.000000000E+000
   0.22955931634760507E-007   0.346315355E-003   0.000000000E+000
   0.22986744965813877E-007   0.829892233E-004   0.000000000E+000
   0.23017558296867247E-007  -0.249031553E-003   0.000000000E+000
   0.23048371627920616E-007  -0.394244853E-003   0.000000000E+000
   0.23079184958973986E-007  -0.223426119E-003   0.000000000E+000
   0.23109998290027356E-007   0.145496830E-003   0.000000000E+000
   0.23140811621080726E-007   0.409061497E-003   0.000000000E+000
   0.23171624952134096E-007   0.328667404E-003   0.000000000E+000
   0.23202438283187465E-007  -0.381490099E-004   0.000000000E+000
   0.23233251614240835E-007  -0.372749142E-003   0.000000000E+000
   0.23264064945294205E-007  -0.386411499E-003   0.000000000E+000
   0.23294878276347575E-007  -0.792618375E-004   0.000000000E+000
   0.23325691607400945E-007   0.280171429E-003   0.000000000E+000
   0.23356504938454314E-007   0.402525300E-003   0.000000000E+000
   0.23387318269507684E-007   0.204365424E-003   0.000000000E+000
   0.23418131600561054E-007  -0.152288922E-003   0.000000000E+000
   0.23448944931614424E-007  -0.391235197E-003   0.000000000E+000
   0.23479758262667794E-007  -0.320388644E-003   0.000000000E+000
   0.23510571593721163E-007   0.172335713E-004   0.000000000E+000
   0.23541384924774533E-007   0.352928735E-003   0.000000000E+000
   0.23572198255827903E-007   0.398401782E-003   0.000000000E+000
   0.23603011586881273E-007   0.103709259E-003   0.000000000E+000
   0.23633824917934643E-007  -0.280389591E-003   0.000000000E+000
   0.23664638248988012E-007  -0.422474230E-003   0.000000000E+000
   0.23695451580041382E-007  -0.208735422E-003   0.000000000E+000
   0.23726264911094752E-007   0.168304032E-003   0.000000000E+000
   0.23757078242148122E-007   0.394958246E-003   0.000000000E+000
   0.23787891573201492E-007   0.299075880E-003   0.000000000E+000
   0.23818704904254862E-007  -0.319396786E-004   0.000000000E+000
   0.23849518235308231E-007  -0.334977522E-003   0.000000000E+000
   0.23880331566361601E-007  -0.370037917E-003   0.000000000E+000
   0.23911144897414971E-007  -0.102573918E-003   0.000000000E+000
   0.23941958228468341E-007   0.255410210E-003   0.000000000E+000
   0.23972771559521711E-007   0.403489918E-003   0.000000000E+000
   0.24003584890575080E-007   0.210058046E-003   0.000000000E+000
   0.24034398221628450E-007  -0.160087759E-003   0.000000000E+000
