t              AirBox.fdtd_Point probe A_Ez_25_50_13.dat       incid
   0.23633824917934643E-007   0.270301462E-004   0.000000000E+000
   0.23664638248988012E-007   0.183626289E-004   0.000000000E+000
   0.23695451580041382E-007  -0.110194705E-004   0.000000000E+000
   0.23726264911094752E-007  -0.193873930E-004   0.000000000E+000
   0.23757078242148122E-007  -0.238358552E-005   0.000000000E+000
   0.23787891573201492E-007   0.828423072E-005   0.000000000E+000
   0.23818704904254862E-007   0.784065378E-006   0.000000000E+000
   0.23849518235308231E-007  -0.265932476E-005   0.000000000E+000
   0.23880331566361601E-007   0.831469697E-005   0.000000000E+000
   0.23911144897414971E-007   0.111785503E-004   0.000000000E+000
   0.23941958228468341E-007  -0.756656118E-005   0.000000000E+000
   0.23972771559521711E-007  -0.221413338E-004   0.000000000E+000
   0.24003584890575080E-007  -0.626955079E-005   0.000000000E+000
   0.24034398221628450E-007   0.207929625E-004   0.000000000E+000
   0.24065211552681820E-007   0.202310002E-004   0.000000000E+000
   0.24096024883735190E-007  -0.666686901E-005   0.000000000E+000
   0.24126838214788560E-007  -0.208379370E-004   0.000000000E+000
   0.24157651545841929E-007  -0.571343662E-005   0.000000000E+000
   0.24188464876895299E-007   0.112733687E-004   0.000000000E+000
   0.24219278207948669E-007   0.651486516E-005   0.000000000E+000
   0.24250091539002039E-007  -0.460698539E-005   0.000000000E+000
   0.24280904870055409E-007  -0.259171429E-006   0.000000000E+000
   0.24311718201108778E-007   0.845990326E-005   0.000000000E+000
   0.24342531532162148E-007  -0.119493052E-006   0.000000000E+000
   0.24373344863215518E-007  -0.154002719E-004   0.000000000E+000
   0.24404158194268888E-007  -0.918508977E-005   0.000000000E+000
   0.24434971525322258E-007   0.143058633E-004   0.000000000E+000
   0.24465784856375627E-007   0.199634615E-004   0.000000000E+000
   0.24496598187428997E-007  -0.276414903E-005   0.000000000E+000
   0.24527411518482367E-007  -0.209941754E-004   0.000000000E+000
   0.24558224849535737E-007  -0.907546018E-005   0.000000000E+000
   0.24589038180589107E-007   0.125283150E-004   0.000000000E+000
   0.24619851511642477E-007   0.120074637E-004   0.000000000E+000
   0.24650664842695846E-007  -0.421991354E-005   0.000000000E+000
   0.24681478173749216E-007  -0.718280444E-005   0.000000000E+000
   0.24712291504802586E-007   0.441104021E-005   0.000000000E+000
   0.24743104835855956E-007   0.527049951E-005   0.000000000E+000
   0.24773918166909326E-007  -0.881338201E-005   0.000000000E+000
   0.24804731497962695E-007  -0.114742779E-004   0.000000000E+000
   0.24835544829016065E-007   0.748120874E-005   0.000000000E+000
   0.24866358160069435E-007   0.198881426E-004   0.000000000E+000
   0.24897171491122805E-007   0.338286009E-005   0.000000000E+000
   0.24927984822176175E-007  -0.195864068E-004   0.000000000E+000
   0.24958798153229544E-007  -0.148499412E-004   0.000000000E+000
   0.24989611484282914E-007   0.981267567E-005   0.000000000E+000
   0.25020424815336284E-007   0.174820925E-004   0.000000000E+000
   0.25051238146389654E-007   0.215100954E-006   0.000000000E+000
   0.25082051477443024E-007  -0.118144735E-004   0.000000000E+000
   0.25112864808496393E-007  -0.192537846E-005   0.000000000E+000
   0.25143678139549763E-007   0.817574619E-005   0.000000000E+000
   0.25174491470603133E-007  -0.773323336E-006   0.000000000E+000
   0.25205304801656503E-007  -0.114471659E-004   0.000000000E+000
   0.25236118132709873E-007  -0.116891079E-005   0.000000000E+000
   0.25266931463763243E-007   0.160134150E-004   0.000000000E+000
   0.25297744794816612E-007   0.104023711E-004   0.000000000E+000
   0.25328558125869982E-007  -0.126561608E-004   0.000000000E+000
   0.25359371456923352E-007  -0.183628927E-004   0.000000000E+000
   0.25390184787976722E-007   0.232867933E-005   0.000000000E+000
   0.25420998119030092E-007   0.179325016E-004   0.000000000E+000
   0.25451811450083461E-007   0.648545665E-005   0.000000000E+000
   0.25482624781136831E-007  -0.112145672E-004   0.000000000E+000
   0.25513438112190201E-007  -0.777309651E-005   0.000000000E+000
   0.25544251443243571E-007   0.701803128E-005   0.000000000E+000
   0.25575064774296941E-007   0.612963504E-005   0.000000000E+000
   0.25605878105350310E-007  -0.772398562E-005   0.000000000E+000
   0.25636691436403680E-007  -0.803911098E-005   0.000000000E+000
   0.25667504767457050E-007   0.825915595E-005   0.000000000E+000
   0.25698318098510420E-007   0.138887353E-004   0.000000000E+000
   0.25729131429563790E-007  -0.284455018E-005   0.000000000E+000
   0.25759944760617159E-007  -0.167243452E-004   0.000000000E+000
   0.25790758091670529E-007  -0.576158800E-005   0.000000000E+000
   0.25821571422723899E-007   0.130784583E-004   0.000000000E+000
   0.25852384753777269E-007   0.113020596E-004   0.000000000E+000
   0.25883198084830639E-007  -0.604093839E-005   0.000000000E+000
   0.25914011415884008E-007  -0.107984233E-004   0.000000000E+000
   0.25944824746937378E-007   0.196727706E-005   0.000000000E+000
   0.25975638077990748E-007   0.866269147E-005   0.000000000E+000
   0.26006451409044118E-007  -0.135857226E-005   0.000000000E+000
   0.26037264740097488E-007  -0.890221418E-005   0.000000000E+000
   0.26068078071150858E-007   0.524544703E-006   0.000000000E+000
   0.26098891402204227E-007   0.111837226E-004   0.000000000E+000
   0.26129704733257597E-007   0.393499204E-005   0.000000000E+000
   0.26160518064310967E-007  -0.106962088E-004   0.000000000E+000
   0.26191331395364337E-007  -0.928795271E-005   0.000000000E+000
   0.26222144726417707E-007   0.604892739E-005   0.000000000E+000
   0.26252958057471076E-007   0.114272825E-004   0.000000000E+000
   0.26283771388524446E-007  -0.636528057E-007   0.000000000E+000
   0.26314584719577816E-007  -0.888436625E-005   0.000000000E+000
   0.26345398050631186E-007  -0.241801308E-005   0.000000000E+000
   0.26376211381684556E-007   0.589531237E-005   0.000000000E+000
   0.26407024712737925E-007   0.173703484E-005   0.000000000E+000
   0.26437838043791295E-007  -0.579062134E-005   0.000000000E+000
   0.26468651374844665E-007  -0.165956089E-005   0.000000000E+000
   0.26499464705898035E-007   0.780460141E-005   0.000000000E+000
   0.26530278036951405E-007   0.546047977E-005   0.000000000E+000
   0.26561091368004774E-007  -0.672390161E-005   0.000000000E+000
   0.26591904699058144E-007  -0.982237816E-005   0.000000000E+000
   0.26622718030111514E-007   0.128382271E-005   0.000000000E+000
   0.26653531361164884E-007   0.986019768E-005   0.000000000E+000
   0.26684344692218254E-007   0.436721484E-005   0.000000000E+000
   0.26715158023271623E-007  -0.475651314E-005   0.000000000E+000
   0.26745971354324993E-007  -0.430966111E-005   0.000000000E+000
   0.26776784685378363E-007   0.106130346E-005   0.000000000E+000
   0.26807598016431733E-007   0.392533536E-006   0.000000000E+000
   0.26838411347485103E-007  -0.313919509E-005   0.000000000E+000
   0.26869224678538473E-007   0.550807272E-006   0.000000000E+000
   0.26900038009591842E-007   0.771341001E-005   0.000000000E+000
   0.26930851340645212E-007   0.515234660E-005   0.000000000E+000
   0.26961664671698582E-007  -0.636452569E-005   0.000000000E+000
   0.26992478002751952E-007  -0.107151354E-004   0.000000000E+000
   0.27023291333805322E-007  -0.130000353E-005   0.000000000E+000
   0.27054104664858691E-007   0.866645860E-005   0.000000000E+000
   0.27084917995912061E-007   0.693810944E-005   0.000000000E+000
   0.27115731326965431E-007  -0.736123184E-006   0.000000000E+000
   0.27146544658018801E-007  -0.331380761E-005   0.000000000E+000
   0.27177357989072171E-007  -0.207019480E-005   0.000000000E+000
   0.27208171320125540E-007  -0.355627344E-005   0.000000000E+000
   0.27238984651178910E-007  -0.426303450E-005   0.000000000E+000
