t              SphericalCavity.fdtd_Point probe_Ex_50_25_50.dat
   0.39564311132833652E-008   0.535258891E-006
   0.39749191091398295E-008   0.709649669E-006
   0.39934071049962938E-008   0.824353378E-006
   0.40118951008527581E-008   0.876844297E-006
   0.40303830967092225E-008   0.883944267E-006
   0.40488710925656868E-008   0.872181772E-006
   0.40673590884221511E-008   0.860686782E-006
   0.40858470842786154E-008   0.851956088E-006
   0.41043350801350797E-008   0.832541957E-006
   0.41228230759915441E-008   0.780645280E-006
   0.41413110718480084E-008   0.682376594E-006
   0.41597990677044727E-008   0.547248817E-006
   0.41782870635609370E-008   0.406406230E-006
   0.41967750594174014E-008   0.296589775E-006
   0.42152630552738657E-008   0.245172401E-006
   0.42337510511303300E-008   0.259784173E-006
   0.42522390469867943E-008   0.324326322E-006
   0.42707270428432587E-008   0.410687818E-006
   0.42892150386997230E-008   0.498992392E-006
   0.43077030345561873E-008   0.583257133E-006
   0.43261910304126516E-008   0.660716580E-006
   0.43446790262691160E-008   0.724724089E-006
   0.43631670221255803E-008   0.767175436E-006
   0.43816550179820446E-008   0.782106724E-006
   0.44001430138385089E-008   0.768604707E-006
   0.44186310096949732E-008   0.730188390E-006
   0.44371190055514376E-008   0.663493893E-006
   0.44556070014079019E-008   0.546282763E-006
   0.44740949972643662E-008   0.345613586E-006
   0.44925829931208305E-008   0.443145325E-007
   0.45110709889772949E-008  -0.336763236E-006
   0.45295589848337592E-008  -0.736564402E-006
   0.45480469806902235E-008  -0.107614540E-005
   0.45665349765466878E-008  -0.129820353E-005
   0.45850229724031522E-008  -0.139605947E-005
   0.46035109682596165E-008  -0.140542545E-005
   0.46219989641160808E-008  -0.136828237E-005
   0.46404869599725451E-008  -0.130158810E-005
   0.46589749558290094E-008  -0.118972696E-005
   0.46774629516854738E-008  -0.100107854E-005
   0.46959509475419381E-008  -0.718237516E-006
   0.47144389433984024E-008  -0.357866440E-006
   0.47329269392548667E-008   0.391432877E-007
   0.47514149351113311E-008   0.434353211E-006
   0.47699029309677954E-008   0.805691684E-006
   0.47883909268242597E-008   0.113912802E-005
   0.48068789226807240E-008   0.141234807E-005
   0.48253669185371884E-008   0.159002184E-005
   0.48438549143936527E-008   0.164143466E-005
   0.48623429102501170E-008   0.156773888E-005
   0.48808309061065813E-008   0.140742918E-005
   0.48993189019630456E-008   0.120867742E-005
   0.49178068978195100E-008   0.995392043E-006
   0.49362948936759743E-008   0.757602493E-006
   0.49547828895324386E-008   0.470389239E-006
   0.49732708853889029E-008   0.126387846E-006
   0.49917588812453673E-008  -0.242475608E-006
   0.50102468771018316E-008  -0.576989407E-006
   0.50287348729582959E-008  -0.829315695E-006
   0.50472228688147602E-008  -0.988908937E-006
   0.50657108646712246E-008  -0.107211713E-005
   0.50841988605276889E-008  -0.109629502E-005
   0.51026868563841532E-008  -0.106962636E-005
   0.51211748522406175E-008  -0.998829137E-006
   0.51396628480970818E-008  -0.894802497E-006
   0.51581508439535462E-008  -0.766044423E-006
   0.51766388398100105E-008  -0.614369299E-006
   0.51951268356664748E-008  -0.449300217E-006
   0.52136148315229391E-008  -0.303589673E-006
   0.52321028273794035E-008  -0.215311559E-006
   0.52505908232358678E-008  -0.187624693E-006
   0.52690788190923321E-008  -0.184373150E-006
   0.52875668149487964E-008  -0.178769568E-006
   0.53060548108052608E-008  -0.192934081E-006
   0.53245428066617251E-008  -0.269521223E-006
   0.53430308025181894E-008  -0.405692276E-006
   0.53615187983746537E-008  -0.533903631E-006
   0.53800067942311181E-008  -0.583007534E-006
   0.53984947900875824E-008  -0.553935649E-006
   0.54169827859440467E-008  -0.516579803E-006
   0.54354707818005110E-008  -0.524304710E-006
   0.54539587776569753E-008  -0.546474553E-006
   0.54724467735134397E-008  -0.499092323E-006
   0.54909347693699040E-008  -0.334245897E-006
   0.55094227652263683E-008  -0.868407710E-007
   0.55279107610828326E-008   0.163933294E-006
   0.55463987569392970E-008   0.370005523E-006
   0.55648867527957613E-008   0.549564561E-006
   0.55833747486522256E-008   0.747914726E-006
   0.56018627445086899E-008   0.965444769E-006
   0.56203507403651543E-008   0.113795204E-005
   0.56388387362216186E-008   0.120341224E-005
   0.56573267320780829E-008   0.117832803E-005
   0.56758147279345472E-008   0.113918929E-005
   0.56943027237910115E-008   0.112090800E-005
   0.57127907196474759E-008   0.106623565E-005
   0.57312787155039402E-008   0.904067747E-006
   0.57497667113604045E-008   0.655131203E-006
   0.57682547072168688E-008   0.415238162E-006
   0.57867427030733332E-008   0.237879803E-006
   0.58052306989297975E-008   0.834721448E-007
   0.58237186947862618E-008  -0.985047990E-007
   0.58422066906427261E-008  -0.280287168E-006
   0.58606946864991905E-008  -0.383768736E-006
   0.58791826823556548E-008  -0.378906776E-006
   0.58976706782121191E-008  -0.320928478E-006
   0.59161586740685834E-008  -0.284634410E-006
   0.59346466699250477E-008  -0.278032246E-006
   0.59531346657815121E-008  -0.239541635E-006
   0.59716226616379764E-008  -0.127106318E-006
   0.59901106574944407E-008   0.105438147E-007
   0.60085986533509050E-008   0.817783885E-007
   0.60270866492073694E-008   0.652238654E-007
   0.60455746450638337E-008   0.356028877E-007
   0.60640626409202980E-008   0.667468214E-007
   0.60825506367767623E-008   0.145091619E-006
   0.61010386326332267E-008   0.197877640E-006
   0.61195266284896910E-008   0.176691273E-006
   0.61380146243461553E-008   0.923196666E-007
   0.61565026202026196E-008  -0.764683250E-008
   0.61749906160590839E-008  -0.773978002E-007
   0.61934786119155483E-008  -0.114636912E-006
   0.62119666077720126E-008  -0.179567394E-006
   0.62304546036284769E-008  -0.342489756E-006
   0.62489425994849412E-008  -0.595640984E-006
   0.62674305953414056E-008  -0.849159164E-006
   0.62859185911978699E-008  -0.102890260E-005
   0.63044065870543342E-008  -0.113767646E-005
   0.63228945829107985E-008  -0.120435129E-005
   0.63413825787672629E-008  -0.122815402E-005
   0.63598705746237272E-008  -0.120639686E-005
   0.63783585704801915E-008  -0.116406443E-005
   0.63968465663366558E-008  -0.110840017E-005
   0.64153345621931201E-008  -0.991876959E-006
   0.64338225580495845E-008  -0.766481548E-006
   0.64523105539060488E-008  -0.449070484E-006
   0.64707985497625131E-008  -0.967706342E-007
   0.64892865456189774E-008   0.255913534E-006
   0.65077745414754418E-008   0.598348549E-006
   0.65262625373319061E-008   0.905531977E-006
   0.65447505331883704E-008   0.114321438E-005
   0.65632385290448347E-008   0.130873275E-005
   0.65817265249012991E-008   0.143349087E-005
   0.66002145207577634E-008   0.153440430E-005
   0.66187025166142277E-008   0.157858790E-005
   0.66371905124706920E-008   0.150909500E-005
   0.66556785083271564E-008   0.130666808E-005
   0.66741665041836207E-008   0.102254660E-005
   0.66926545000400850E-008   0.741998520E-006
   0.67111424958965493E-008   0.507666925E-006
   0.67296304917530136E-008   0.283095460E-006
   0.67481184876094780E-008   0.243437626E-008
   0.67666064834659423E-008  -0.346692588E-006
