t              TwoCables.fdtd_Probe_Start_Ez_10_25_10.dat
   0.50534958943165842E-009  -0.638024986E+000
   0.50689028939943787E-009  -0.655338943E+000
   0.50843098936721731E-009  -0.673082829E+000
   0.50997168933499676E-009  -0.691266119E+000
   0.51151238930277620E-009  -0.709898472E+000
   0.51305308927055565E-009  -0.728989661E+000
   0.51459378923833510E-009  -0.748549819E+000
   0.51613448920611454E-009  -0.768589139E+000
   0.51767518917389399E-009  -0.789118111E+000
   0.51921588914167344E-009  -0.810147285E+000
   0.52075658910945288E-009  -0.831687450E+000
   0.52229728907723233E-009  -0.853749692E+000
   0.52383798904501178E-009  -0.876345158E+000
   0.52537868901279122E-009  -0.899485230E+000
   0.52691938898057067E-009  -0.923181593E+000
   0.52846008894835012E-009  -0.947445869E+000
   0.53000078891612956E-009  -0.972290158E+000
   0.53154148888390901E-009  -0.997726679E+000
   0.53308218885168845E-009  -0.102376783E+001
   0.53462288881946790E-009  -0.105042624E+001
   0.53616358878724735E-009  -0.107771480E+001
   0.53770428875502679E-009  -0.110564661E+001
   0.53924498872280624E-009  -0.113423514E+001
   0.54078568869058569E-009  -0.116349375E+001
   0.54232638865836513E-009  -0.119343626E+001
   0.54386708862614458E-009  -0.122407675E+001
   0.54540778859392403E-009  -0.125542927E+001
   0.54694848856170347E-009  -0.128750837E+001
   0.54848918852948292E-009  -0.132032871E+001
   0.55002988849726236E-009  -0.135390532E+001
   0.55157058846504181E-009  -0.138825345E+001
   0.55311128843282126E-009  -0.142338836E+001
   0.55465198840060070E-009  -0.145932591E+001
   0.55619268836838015E-009  -0.149608183E+001
   0.55773338833615960E-009  -0.153367245E+001
   0.55927408830393904E-009  -0.157211423E+001
   0.56081478827171849E-009  -0.161142397E+001
   0.56235548823949794E-009  -0.165161860E+001
   0.56389618820727738E-009  -0.169271517E+001
   0.56543688817505683E-009  -0.173473144E+001
   0.56697758814283628E-009  -0.177768505E+001
   0.56851828811061572E-009  -0.182159400E+001
   0.57005898807839517E-009  -0.186647677E+001
   0.57159968804617461E-009  -0.191235173E+001
   0.57314038801395406E-009  -0.195923805E+001
   0.57468108798173351E-009  -0.200715470E+001
   0.57622178794951295E-009  -0.205612111E+001
   0.57776248791729240E-009  -0.210615706E+001
   0.57930318788507185E-009  -0.215728235E+001
   0.58084388785285129E-009  -0.220951748E+001
   0.58238458782063074E-009  -0.226288295E+001
   0.58392528778841019E-009  -0.231739974E+001
   0.58546598775618963E-009  -0.237308908E+001
   0.58700668772396908E-009  -0.242997265E+001
   0.58854738769174852E-009  -0.248807192E+001
   0.59008808765952797E-009  -0.254740906E+001
   0.59162878762730742E-009  -0.260800648E+001
   0.59316948759508686E-009  -0.266988659E+001
   0.59471018756286631E-009  -0.273307276E+001
   0.59625088753064576E-009  -0.279758811E+001
   0.59779158749842520E-009  -0.286345649E+001
   0.59933228746620465E-009  -0.293070149E+001
   0.60087298743398410E-009  -0.299934769E+001
   0.60241368740176354E-009  -0.306941938E+001
   0.60395438736954299E-009  -0.314094162E+001
   0.60549508733732244E-009  -0.321393967E+001
   0.60703578730510188E-009  -0.328843904E+001
   0.60857648727288133E-009  -0.336446571E+001
   0.61011718724066077E-009  -0.344204521E+001
   0.61165788720844022E-009  -0.352120471E+001
   0.61319858717621967E-009  -0.360197067E+001
   0.61473928714399911E-009  -0.368437076E+001
   0.61627998711177856E-009  -0.376843190E+001
   0.61782068707955801E-009  -0.385418200E+001
   0.61936138704733745E-009  -0.394164920E+001
   0.62090208701511690E-009  -0.403086233E+001
   0.62244278698289635E-009  -0.412184954E+001
   0.62398348695067579E-009  -0.421464062E+001
   0.62552418691845524E-009  -0.430926466E+001
   0.62706488688623468E-009  -0.440575123E+001
   0.62860558685401413E-009  -0.450413036E+001
   0.63014628682179358E-009  -0.460443354E+001
   0.63168698678957302E-009  -0.470669079E+001
   0.63322768675735247E-009  -0.481093359E+001
   0.63476838672513192E-009  -0.491719294E+001
   0.63630908669291136E-009  -0.502550077E+001
   0.63784978666069081E-009  -0.513588905E+001
   0.63939048662847026E-009  -0.524839067E+001
   0.64093118659624970E-009  -0.536303806E+001
   0.64247188656402915E-009  -0.547986460E+001
   0.64401258653180860E-009  -0.559890366E+001
   0.64555328649958804E-009  -0.572018862E+001
   0.64709398646736749E-009  -0.584375334E+001
   0.64863468643514693E-009  -0.596963310E+001
   0.65017538640292638E-009  -0.609786224E+001
   0.65171608637070583E-009  -0.622847652E+001
   0.65325678633848527E-009  -0.636151075E+001
   0.65479748630626472E-009  -0.649700022E+001
   0.65633818627404417E-009  -0.663498163E+001
   0.65787888624182361E-009  -0.677549124E+001
   0.65941958620960306E-009  -0.691856527E+001
   0.66096028617738251E-009  -0.706424141E+001
   0.66250098614516195E-009  -0.721255636E+001
   0.66404168611294140E-009  -0.736354780E+001
   0.66558238608072084E-009  -0.751725388E+001
   0.66712308604850029E-009  -0.767371273E+001
   0.66866378601627974E-009  -0.783296251E+001
   0.67020448598405918E-009  -0.799504280E+001
   0.67174518595183863E-009  -0.815999222E+001
   0.67328588591961808E-009  -0.832785034E+001
   0.67482658588739752E-009  -0.849865627E+001
   0.67636728585517697E-009  -0.867245102E+001
   0.67790798582295642E-009  -0.884927464E+001
   0.67944868579073586E-009  -0.902916718E+001
   0.68098938575851531E-009  -0.921216965E+001
   0.68253008572629476E-009  -0.939832306E+001
   0.68407078569407420E-009  -0.958766842E+001
   0.68561148566185365E-009  -0.978024769E+001
   0.68715218562963309E-009  -0.997610188E+001
   0.68869288559741254E-009  -0.101752748E+002
   0.69023358556519199E-009  -0.103778086E+002
   0.69177428553297143E-009  -0.105837450E+002
   0.69331498550075088E-009  -0.107931271E+002
   0.69485568546853033E-009  -0.110059977E+002
   0.69639638543630977E-009  -0.112223997E+002
   0.69793708540408922E-009  -0.114423780E+002
   0.69947778537186867E-009  -0.116659756E+002
   0.70101848533964811E-009  -0.118932362E+002
   0.70255918530742756E-009  -0.121242037E+002
   0.70409988527520700E-009  -0.123589230E+002
   0.70564058524298645E-009  -0.125974369E+002
   0.70718128521076590E-009  -0.128397923E+002
   0.70872198517854534E-009  -0.130860329E+002
   0.71026268514632479E-009  -0.133362045E+002
   0.71180338511410424E-009  -0.135903521E+002
   0.71334408508188368E-009  -0.138485203E+002
   0.71488478504966313E-009  -0.141107550E+002
   0.71642548501744258E-009  -0.143771009E+002
   0.71796618498522202E-009  -0.146476049E+002
   0.71950688495300147E-009  -0.149223127E+002
   0.72104758492078092E-009  -0.152012691E+002
   0.72258828488856036E-009  -0.154845209E+002
   0.72412898485633981E-009  -0.157721138E+002
   0.72566968482411925E-009  -0.160640945E+002
   0.72721038479189870E-009  -0.163605099E+002
   0.72875108475967815E-009  -0.166614037E+002
   0.73029178472745759E-009  -0.169668236E+002
   0.73183248469523704E-009  -0.172768173E+002
   0.73337318466301649E-009  -0.175914288E+002
   0.73491388463079593E-009  -0.179107056E+002
   0.73645458459857538E-009  -0.182346954E+002
   0.73799528456635483E-009  -0.185634460E+002
   0.73953598453413427E-009  -0.188970013E+002
   0.74107668450191372E-009  -0.192354069E+002
   0.74261738446969316E-009  -0.195787086E+002
   0.74415808443747261E-009  -0.199269543E+002
   0.74569878440525206E-009  -0.202801895E+002
   0.74723948437303150E-009  -0.206384602E+002
   0.74878018434081095E-009  -0.210018139E+002
   0.75032088430859040E-009  -0.213702946E+002
   0.75186158427636984E-009  -0.217439499E+002
   0.75340228424414929E-009  -0.221228237E+002
   0.75494298421192874E-009  -0.225069637E+002
   0.75648368417970818E-009  -0.228964157E+002
   0.75802438414748763E-009  -0.232912216E+002
   0.75956508411526708E-009  -0.236914291E+002
   0.76110578408304652E-009  -0.240970821E+002
   0.76264648405082597E-009  -0.245082264E+002
   0.76418718401860541E-009  -0.249249039E+002
   0.76572788398638486E-009  -0.253471622E+002
   0.76726858395416431E-009  -0.257750435E+002
   0.76880928392194375E-009  -0.262085896E+002
   0.77034998388972320E-009  -0.266478462E+002
   0.77189068385750265E-009  -0.270928555E+002
   0.77343138382528209E-009  -0.275436592E+002
   0.77497208379306154E-009  -0.280003033E+002
   0.77651278376084099E-009  -0.284628277E+002
   0.77805348372862043E-009  -0.289312744E+002
   0.77959418369639988E-009  -0.294056854E+002
   0.78113488366417932E-009  -0.298860989E+002
   0.78267558363195877E-009  -0.303725605E+002
   0.78421628359973822E-009  -0.308651047E+002
   0.78575698356751766E-009  -0.313637753E+002
   0.78729768353529711E-009  -0.318686104E+002
   0.78883838350307656E-009  -0.323796501E+002
   0.79037908347085600E-009  -0.328969307E+002
   0.79191978343863545E-009  -0.334204865E+002
   0.79346048340641490E-009  -0.339503593E+002
   0.79500118337419434E-009  -0.344865875E+002
   0.79654188334197379E-009  -0.350292053E+002
   0.79808258330975324E-009  -0.355782471E+002
   0.79962328327753268E-009  -0.361337471E+002
   0.80116398324531213E-009  -0.366957436E+002
   0.80270468321309157E-009  -0.372642670E+002
   0.80424538318087102E-009  -0.378393517E+002
   0.80578608314865047E-009  -0.384210320E+002
   0.80732678311642991E-009  -0.390093346E+002
   0.80886748308420936E-009  -0.396042938E+002
   0.81040818305198881E-009  -0.402059402E+002
   0.81194888301976825E-009  -0.408143044E+002
   0.81348958298754770E-009  -0.414294090E+002
   0.81503028295532715E-009  -0.420512886E+002
   0.81657098292310659E-009  -0.426799698E+002
   0.81811168289088604E-009  -0.433154755E+002
   0.81965238285866548E-009  -0.439578362E+002
   0.82119308282644493E-009  -0.446070747E+002
   0.82273378279422438E-009  -0.452632141E+002
   0.82427448276200382E-009  -0.459262772E+002
   0.82581518272978327E-009  -0.465962830E+002
   0.82735588269756272E-009  -0.472732582E+002
   0.82889658266534216E-009  -0.479572182E+002
   0.83043728263312161E-009  -0.486481857E+002
   0.83197798260090106E-009  -0.493461800E+002
   0.83351868256868050E-009  -0.500512199E+002
   0.83505938253645995E-009  -0.507633171E+002
   0.83660008250423940E-009  -0.514824905E+002
   0.83814078247201884E-009  -0.522087517E+002
   0.83968148243979829E-009  -0.529421120E+002
   0.84122218240757773E-009  -0.536825829E+002
   0.84276288237535718E-009  -0.544301796E+002
   0.84430358234313663E-009  -0.551849098E+002
   0.84584428231091607E-009  -0.559467812E+002
   0.84738498227869552E-009  -0.567158051E+002
   0.84892568224647497E-009  -0.574919891E+002
   0.85046638221425441E-009  -0.582753296E+002
   0.85200708218203386E-009  -0.590658379E+002
   0.85354778214981331E-009  -0.598635139E+002
   0.85508848211759275E-009  -0.606683617E+002
   0.85662918208537220E-009  -0.614803772E+002
   0.85816988205315164E-009  -0.622995644E+002
   0.85971058202093109E-009  -0.631259193E+002
   0.86125128198871054E-009  -0.639594345E+002
   0.86279198195648998E-009  -0.648001099E+002
   0.86433268192426943E-009  -0.656479340E+002
   0.86587338189204888E-009  -0.665028992E+002
   0.86741408185982832E-009  -0.673649979E+002
   0.86895478182760777E-009  -0.682342224E+002
   0.87049548179538722E-009  -0.691105576E+002
   0.87203618176316666E-009  -0.699939957E+002
   0.87357688173094611E-009  -0.708845139E+002
   0.87511758169872556E-009  -0.717821045E+002
   0.87665828166650500E-009  -0.726867447E+002
   0.87819898163428445E-009  -0.735984116E+002
   0.87973968160206389E-009  -0.745170822E+002
   0.88128038156984334E-009  -0.754427414E+002
   0.88282108153762279E-009  -0.763753662E+002
   0.88436178150540223E-009  -0.773149261E+002
   0.88590248147318168E-009  -0.782613983E+002
   0.88744318144096113E-009  -0.792147598E+002
   0.88898388140874057E-009  -0.801749725E+002
   0.89052458137652002E-009  -0.811420059E+002
   0.89206528134429947E-009  -0.821158142E+002
   0.89360598131207891E-009  -0.830963821E+002
   0.89514668127985836E-009  -0.840836716E+002
   0.89668738124763780E-009  -0.850776367E+002
   0.89822808121541725E-009  -0.860782394E+002
   0.89976878118319670E-009  -0.870854416E+002
   0.90130948115097614E-009  -0.880991974E+002
   0.90285018111875559E-009  -0.891194534E+002
   0.90439088108653504E-009  -0.901461716E+002
   0.90593158105431448E-009  -0.911793060E+002
   0.90747228102209393E-009  -0.922188034E+002
   0.90901298098987338E-009  -0.932646179E+002
   0.91055368095765282E-009  -0.943166962E+002
   0.91209438092543227E-009  -0.953749771E+002
   0.91363508089321172E-009  -0.964393997E+002
   0.91517578086099116E-009  -0.975099030E+002
   0.91671648082877061E-009  -0.985864410E+002
   0.91825718079655005E-009  -0.996689529E+002
   0.91979788076432950E-009  -0.100757362E+003
   0.92133858073210895E-009  -0.101851608E+003
   0.92287928069988839E-009  -0.102951630E+003
   0.92441998066766784E-009  -0.104057350E+003
   0.92596068063544729E-009  -0.105168701E+003
