t              SphereRCS.fdtd_Point probe_Ez_50_50_13.dat       incid
   0.44371196716852523E-008  -0.358748669E-002   0.000000000E+000
   0.44679330027386222E-008  -0.353591959E-002   0.000000000E+000
   0.44987463337919920E-008  -0.325059099E-002   0.000000000E+000
   0.45295596648453618E-008  -0.275201234E-002   0.000000000E+000
   0.45603729958987316E-008  -0.208017440E-002   0.000000000E+000
   0.45911863269521014E-008  -0.129044475E-002   0.000000000E+000
   0.46219996580054712E-008  -0.447743514E-003   0.000000000E+000
   0.46528129890588410E-008   0.380215992E-003   0.000000000E+000
   0.46836263201122108E-008   0.112965773E-002   0.000000000E+000
   0.47144396511655806E-008   0.174713740E-002   0.000000000E+000
   0.47452529822189504E-008   0.219578436E-002   0.000000000E+000
   0.47760663132723202E-008   0.246044178E-002   0.000000000E+000
   0.48068796443256900E-008   0.254962686E-002   0.000000000E+000
   0.48376929753790598E-008   0.249323156E-002   0.000000000E+000
   0.48685063064324297E-008   0.233665761E-002   0.000000000E+000
   0.48993196374857995E-008   0.213238038E-002   0.000000000E+000
   0.49301329685391693E-008   0.193030946E-002   0.000000000E+000
   0.49609462995925391E-008   0.176958588E-002   0.000000000E+000
   0.49917596306459089E-008   0.167419424E-002   0.000000000E+000
   0.50225729616992787E-008   0.165229989E-002   0.000000000E+000
   0.50533862927526485E-008   0.169759931E-002   0.000000000E+000
   0.50841996238060183E-008   0.179150072E-002   0.000000000E+000
   0.51150129548593881E-008   0.190557877E-002   0.000000000E+000
   0.51458262859127579E-008   0.200392981E-002   0.000000000E+000
   0.51766396169661277E-008   0.204568845E-002   0.000000000E+000
   0.52074529480194975E-008   0.198872667E-002   0.000000000E+000
   0.52382662790728673E-008   0.179530901E-002   0.000000000E+000
   0.52690796101262372E-008   0.143920793E-002   0.000000000E+000
   0.52998929411796070E-008   0.912163057E-003   0.000000000E+000
   0.53307062722329768E-008   0.226501841E-003   0.000000000E+000
   0.53615196032863466E-008  -0.587364077E-003   0.000000000E+000
   0.53923329343397164E-008  -0.148590212E-002   0.000000000E+000
   0.54231462653930862E-008  -0.241583935E-002   0.000000000E+000
   0.54539595964464560E-008  -0.331539195E-002   0.000000000E+000
   0.54847729274998258E-008  -0.411668746E-002   0.000000000E+000
   0.55155862585531956E-008  -0.475209951E-002   0.000000000E+000
   0.55463995896065654E-008  -0.516361557E-002   0.000000000E+000
   0.55772129206599352E-008  -0.531196827E-002   0.000000000E+000
   0.56080262517133050E-008  -0.518278498E-002   0.000000000E+000
   0.56388395827666749E-008  -0.478914753E-002   0.000000000E+000
   0.56696529138200447E-008  -0.417134631E-002   0.000000000E+000
   0.57004662448734145E-008  -0.339350943E-002   0.000000000E+000
   0.57312795759267843E-008  -0.253502186E-002   0.000000000E+000
   0.57620929069801541E-008  -0.167690241E-002   0.000000000E+000
   0.57929062380335239E-008  -0.888520211E-003   0.000000000E+000
   0.58237195690868937E-008  -0.220249931E-003   0.000000000E+000
   0.58545329001402635E-008   0.299488602E-003   0.000000000E+000
   0.58853462311936333E-008   0.668831868E-003   0.000000000E+000
   0.59161595622470031E-008   0.918284582E-003   0.000000000E+000
   0.59469728933003729E-008   0.110776001E-002   0.000000000E+000
   0.59777862243537427E-008   0.130759901E-002   0.000000000E+000
   0.60085995554071125E-008   0.157221546E-002   0.000000000E+000
   0.60394128864604824E-008   0.192602514E-002   0.000000000E+000
   0.60702262175138522E-008   0.237045251E-002   0.000000000E+000
   0.61010395485672220E-008   0.289652101E-002   0.000000000E+000
   0.61318528796205918E-008   0.347993337E-002   0.000000000E+000
   0.61626662106739616E-008   0.405959785E-002   0.000000000E+000
   0.61934795417273314E-008   0.452957302E-002   0.000000000E+000
   0.62242928727807012E-008   0.476870500E-002   0.000000000E+000
   0.62551062038340710E-008   0.469246833E-002   0.000000000E+000
   0.62859195348874408E-008   0.428305473E-002   0.000000000E+000
   0.63167328659408106E-008   0.357276062E-002   0.000000000E+000
   0.63475461969941804E-008   0.260390993E-002   0.000000000E+000
   0.63783595280475502E-008   0.141338073E-002   0.000000000E+000
   0.64091728591009200E-008   0.609866111E-004   0.000000000E+000
   0.64399861901542899E-008  -0.133393751E-002   0.000000000E+000
   0.64707995212076597E-008  -0.260330853E-002   0.000000000E+000
   0.65016128522610295E-008  -0.359855616E-002   0.000000000E+000
   0.65324261833143993E-008  -0.425841007E-002   0.000000000E+000
   0.65632395143677691E-008  -0.460715964E-002   0.000000000E+000
   0.65940528454211389E-008  -0.468515232E-002   0.000000000E+000
   0.66248661764745087E-008  -0.449149450E-002   0.000000000E+000
   0.66556795075278785E-008  -0.400709268E-002   0.000000000E+000
   0.66864928385812483E-008  -0.326919090E-002   0.000000000E+000
   0.67173061696346181E-008  -0.240272796E-002   0.000000000E+000
   0.67481195006879879E-008  -0.156320818E-002   0.000000000E+000
   0.67789328317413577E-008  -0.848072115E-003   0.000000000E+000
   0.68097461627947276E-008  -0.263739377E-003   0.000000000E+000
   0.68405594938480974E-008   0.229821482E-003   0.000000000E+000
   0.68713728249014672E-008   0.647906156E-003   0.000000000E+000
   0.69021861559548370E-008   0.948330271E-003   0.000000000E+000
   0.69329994870082068E-008   0.106829731E-002   0.000000000E+000
   0.69638128180615766E-008   0.100381498E-002   0.000000000E+000
   0.69946261491149464E-008   0.848208438E-003   0.000000000E+000
   0.70254394801683162E-008   0.722716562E-003   0.000000000E+000
   0.70562528112216860E-008   0.654874137E-003   0.000000000E+000
   0.70870661422750558E-008   0.555782870E-003   0.000000000E+000
   0.71178794733284256E-008   0.346100220E-003   0.000000000E+000
   0.71486928043817954E-008   0.749845640E-004   0.000000000E+000
   0.71795061354351652E-008  -0.134609858E-003   0.000000000E+000
   0.72103194664885351E-008  -0.243954215E-003   0.000000000E+000
   0.72411327975419049E-008  -0.340211147E-003   0.000000000E+000
   0.72719461285952747E-008  -0.510553888E-003   0.000000000E+000
   0.73027594596486445E-008  -0.730649219E-003   0.000000000E+000
   0.73335727907020143E-008  -0.903541513E-003   0.000000000E+000
   0.73643861217553841E-008  -0.964847510E-003   0.000000000E+000
   0.73951994528087539E-008  -0.920777849E-003   0.000000000E+000
   0.74260127838621237E-008  -0.822072790E-003   0.000000000E+000
   0.74568261149154935E-008  -0.733809080E-003   0.000000000E+000
   0.74876394459688633E-008  -0.695495924E-003   0.000000000E+000
   0.75184527770222331E-008  -0.672604947E-003   0.000000000E+000
   0.75492661080756029E-008  -0.576049963E-003   0.000000000E+000
   0.75800794391289728E-008  -0.369121321E-003   0.000000000E+000
   0.76108927701823426E-008  -0.130938730E-003   0.000000000E+000
   0.76417061012357124E-008   0.290961761E-004   0.000000000E+000
   0.76725194322890822E-008   0.104994004E-003   0.000000000E+000
   0.77033327633424520E-008   0.202769123E-003   0.000000000E+000
   0.77341460943958218E-008   0.423256424E-003   0.000000000E+000
   0.77649594254491916E-008   0.767785707E-003   0.000000000E+000
   0.77957727565025614E-008   0.115077128E-002   0.000000000E+000
   0.78265860875559312E-008   0.147276884E-002   0.000000000E+000
   0.78573994186093010E-008   0.168260373E-002   0.000000000E+000
   0.78882127496626708E-008   0.179362099E-002   0.000000000E+000
   0.79190260807160406E-008   0.184504443E-002   0.000000000E+000
   0.79498394117694104E-008   0.184173475E-002   0.000000000E+000
   0.79806527428227803E-008   0.174048881E-002   0.000000000E+000
   0.80114660738761501E-008   0.149865961E-002   0.000000000E+000
   0.80422794049295199E-008   0.111805974E-002   0.000000000E+000
   0.80730927359828897E-008   0.637849967E-003   0.000000000E+000
   0.81039060670362595E-008   0.113063667E-003   0.000000000E+000
   0.81347193980896293E-008  -0.388388173E-003   0.000000000E+000
   0.81655327291429991E-008  -0.801486312E-003   0.000000000E+000
   0.81963460601963689E-008  -0.110607571E-002   0.000000000E+000
   0.82271593912497387E-008  -0.133816618E-002   0.000000000E+000
   0.82579727223031085E-008  -0.153752032E-002   0.000000000E+000
   0.82887860533564783E-008  -0.169302453E-002   0.000000000E+000
   0.83195993844098481E-008  -0.175542536E-002   0.000000000E+000
   0.83504127154632179E-008  -0.169656146E-002   0.000000000E+000
   0.83812260465165878E-008  -0.154242176E-002   0.000000000E+000
   0.84120393775699576E-008  -0.134873902E-002   0.000000000E+000
   0.84428527086233274E-008  -0.115013600E-002   0.000000000E+000
   0.84736660396766972E-008  -0.935743796E-003   0.000000000E+000
   0.85044793707300670E-008  -0.677680247E-003   0.000000000E+000
   0.85352927017834368E-008  -0.379748293E-003   0.000000000E+000
   0.85661060328368066E-008  -0.829479541E-004   0.000000000E+000
   0.85969193638901764E-008   0.179648021E-003   0.000000000E+000
   0.86277326949435462E-008   0.408665132E-003   0.000000000E+000
   0.86585460259969160E-008   0.603624037E-003   0.000000000E+000
   0.86893593570502858E-008   0.729523366E-003   0.000000000E+000
   0.87201726881036556E-008   0.750915206E-003   0.000000000E+000
   0.87509860191570255E-008   0.683905149E-003   0.000000000E+000
   0.87817993502103953E-008   0.576041813E-003   0.000000000E+000
   0.88126126812637651E-008   0.442358287E-003   0.000000000E+000
   0.88434260123171349E-008   0.267820491E-003   0.000000000E+000
   0.88742393433705047E-008   0.778285466E-004   0.000000000E+000
   0.89050526744238745E-008  -0.491039973E-004   0.000000000E+000
   0.89358660054772443E-008  -0.690266897E-004   0.000000000E+000
   0.89666793365306141E-008  -0.266392963E-004   0.000000000E+000
   0.89974926675839839E-008   0.248486213E-004   0.000000000E+000
   0.90283059986373537E-008   0.120757963E-003   0.000000000E+000
   0.90591193296907235E-008   0.333180826E-003   0.000000000E+000
   0.90899326607440933E-008   0.633753429E-003   0.000000000E+000
   0.91207459917974631E-008   0.886264024E-003   0.000000000E+000
   0.91515593228508330E-008   0.998059520E-003   0.000000000E+000
   0.91823726539042028E-008   0.101281202E-002   0.000000000E+000
   0.92131859849575726E-008   0.101194577E-002   0.000000000E+000
   0.92439993160109424E-008   0.980681507E-003   0.000000000E+000
   0.92748126470643122E-008   0.838725886E-003   0.000000000E+000
   0.93056259781176820E-008   0.575562764E-003   0.000000000E+000
   0.93364393091710518E-008   0.276958948E-003   0.000000000E+000
   0.93672526402244216E-008   0.106648367E-004   0.000000000E+000
   0.93980659712777914E-008  -0.240499794E-003   0.000000000E+000
   0.94288793023311612E-008  -0.494220294E-003   0.000000000E+000
   0.94596926333845310E-008  -0.679157441E-003   0.000000000E+000
   0.94905059644379008E-008  -0.702997320E-003   0.000000000E+000
   0.95213192954912707E-008  -0.586709823E-003   0.000000000E+000
   0.95521326265446405E-008  -0.449050945E-003   0.000000000E+000
   0.95829459575980103E-008  -0.347562920E-003   0.000000000E+000
   0.96137592886513801E-008  -0.214845320E-003   0.000000000E+000
   0.96445726197047499E-008   0.891333912E-005   0.000000000E+000
   0.96753859507581197E-008   0.252117054E-003   0.000000000E+000
   0.97061992818114895E-008   0.388683518E-003   0.000000000E+000
   0.97370126128648593E-008   0.393917231E-003   0.000000000E+000
