t              SphereGround.fdtd_Point probe_1_Ex_50_50_50.dat       incid
   0.10414904723365925E-007  -0.394816278E-002   0.000000000E+000
   0.10445718050949848E-007  -0.240257871E-002   0.000000000E+000
   0.10476531378533771E-007   0.267403456E-002   0.000000000E+000
   0.10507344706117694E-007   0.118115554E-001   0.000000000E+000
   0.10538158033701617E-007   0.250292644E-001   0.000000000E+000
   0.10568971361285540E-007   0.418158546E-001   0.000000000E+000
   0.10599784688869462E-007   0.611573532E-001   0.000000000E+000
   0.10630598016453385E-007   0.815788880E-001   0.000000000E+000
   0.10661411344037308E-007   0.101223722E+000   0.000000000E+000
   0.10692224671621231E-007   0.118020348E+000   0.000000000E+000
   0.10723037999205154E-007   0.129947901E+000   0.000000000E+000
   0.10753851326789077E-007   0.135339499E+000   0.000000000E+000
   0.10784664654373000E-007   0.133128852E+000   0.000000000E+000
   0.10815477981956922E-007   0.122976638E+000   0.000000000E+000
   0.10846291309540845E-007   0.105280787E+000   0.000000000E+000
   0.10877104637124768E-007   0.811199322E-001   0.000000000E+000
   0.10907917964708691E-007   0.521693490E-001   0.000000000E+000
   0.10938731292292614E-007   0.205808841E-001   0.000000000E+000
   0.10969544619876537E-007  -0.112128742E-001   0.000000000E+000
   0.11000357947460460E-007  -0.407836586E-001   0.000000000E+000
   0.11031171275044382E-007  -0.660274252E-001   0.000000000E+000
   0.11061984602628305E-007  -0.854196846E-001   0.000000000E+000
   0.11092797930212228E-007  -0.981326848E-001   0.000000000E+000
   0.11123611257796151E-007  -0.104017861E+000   0.000000000E+000
   0.11154424585380074E-007  -0.103512220E+000   0.000000000E+000
   0.11185237912963997E-007  -0.975170434E-001   0.000000000E+000
   0.11216051240547920E-007  -0.872499719E-001   0.000000000E+000
   0.11246864568131842E-007  -0.740581304E-001   0.000000000E+000
   0.11277677895715765E-007  -0.592207015E-001   0.000000000E+000
   0.11308491223299688E-007  -0.438029803E-001   0.000000000E+000
   0.11339304550883611E-007  -0.285948329E-001   0.000000000E+000
   0.11370117878467534E-007  -0.141107701E-001   0.000000000E+000
   0.11400931206051457E-007  -0.619959086E-003   0.000000000E+000
   0.11431744533635380E-007   0.117944041E-001   0.000000000E+000
   0.11462557861219302E-007   0.231425278E-001   0.000000000E+000
   0.11493371188803225E-007   0.334298089E-001   0.000000000E+000
   0.11524184516387148E-007   0.425909236E-001   0.000000000E+000
   0.11554997843971071E-007   0.504659973E-001   0.000000000E+000
   0.11585811171554994E-007   0.568073802E-001   0.000000000E+000
   0.11616624499138917E-007   0.613151491E-001   0.000000000E+000
   0.11647437826722840E-007   0.637047738E-001   0.000000000E+000
   0.11678251154306762E-007   0.637864023E-001   0.000000000E+000
   0.11709064481890685E-007   0.615121946E-001   0.000000000E+000
   0.11739877809474608E-007   0.569675751E-001   0.000000000E+000
   0.11770691137058531E-007   0.503319763E-001   0.000000000E+000
   0.11801504464642454E-007   0.418555215E-001   0.000000000E+000
   0.11832317792226377E-007   0.318627581E-001   0.000000000E+000
   0.11863131119810300E-007   0.207519718E-001   0.000000000E+000
   0.11893944447394222E-007   0.896694046E-002   0.000000000E+000
   0.11924757774978145E-007  -0.304082967E-002   0.000000000E+000
   0.11955571102562068E-007  -0.148324985E-001   0.000000000E+000
   0.11986384430145991E-007  -0.259858631E-001   0.000000000E+000
   0.12017197757729914E-007  -0.360954814E-001   0.000000000E+000
   0.12048011085313837E-007  -0.447679311E-001   0.000000000E+000
   0.12078824412897760E-007  -0.516181551E-001   0.000000000E+000
   0.12109637740481682E-007  -0.563004650E-001   0.000000000E+000
   0.12140451068065605E-007  -0.585917234E-001   0.000000000E+000
   0.12171264395649528E-007  -0.584757887E-001   0.000000000E+000
   0.12202077723233451E-007  -0.561503842E-001   0.000000000E+000
   0.12232891050817374E-007  -0.519505069E-001   0.000000000E+000
   0.12263704378401297E-007  -0.462715849E-001   0.000000000E+000
   0.12294517705985220E-007  -0.395614989E-001   0.000000000E+000
   0.12325331033569142E-007  -0.323542804E-001   0.000000000E+000
   0.12356144361153065E-007  -0.252683610E-001   0.000000000E+000
   0.12386957688736988E-007  -0.189363062E-001   0.000000000E+000
   0.12417771016320911E-007  -0.138938008E-001   0.000000000E+000
   0.12448584343904834E-007  -0.104695177E-001   0.000000000E+000
   0.12479397671488757E-007  -0.871172082E-002   0.000000000E+000
   0.12510210999072680E-007  -0.838514045E-002   0.000000000E+000
   0.12541024326656602E-007  -0.904157571E-002   0.000000000E+000
   0.12571837654240525E-007  -0.101104286E-001   0.000000000E+000
   0.12602650981824448E-007  -0.109449774E-001   0.000000000E+000
   0.12633464309408371E-007  -0.108303446E-001   0.000000000E+000
   0.12664277636992294E-007  -0.902592577E-002   0.000000000E+000
   0.12695090964576217E-007  -0.488750124E-002   0.000000000E+000
   0.12725904292160140E-007   0.197250070E-002   0.000000000E+000
   0.12756717619744062E-007   0.115652978E-001   0.000000000E+000
   0.12787530947327985E-007   0.234832577E-001   0.000000000E+000
