t              2d_case.fdtd_Point probe_1_Ey_50_0_80.dat       incid
   0.77733469314167358E-008   0.514693056E-004   0.000000000E+000
   0.78110816252585646E-008   0.487421603E-004   0.000000000E+000
   0.78488163191003935E-008   0.462127173E-004   0.000000000E+000
   0.78865510129422223E-008   0.437310409E-004   0.000000000E+000
   0.79242857067840511E-008   0.411983201E-004   0.000000000E+000
   0.79620204006258799E-008   0.387174259E-004   0.000000000E+000
   0.79997550944677087E-008   0.364794942E-004   0.000000000E+000
   0.80374897883095375E-008   0.345336994E-004   0.000000000E+000
   0.80752244821513663E-008   0.327061425E-004   0.000000000E+000
   0.81129591759931952E-008   0.308067210E-004   0.000000000E+000
   0.81506938698350240E-008   0.288503452E-004   0.000000000E+000
   0.81884285636768528E-008   0.269926513E-004   0.000000000E+000
   0.82261632575186816E-008   0.252669797E-004   0.000000000E+000
   0.82638979513605104E-008   0.235568677E-004   0.000000000E+000
   0.83016326452023392E-008   0.218230507E-004   0.000000000E+000
   0.83393673390441680E-008   0.201966850E-004   0.000000000E+000
   0.83771020328859969E-008   0.187985479E-004   0.000000000E+000
   0.84148367267278257E-008   0.175768091E-004   0.000000000E+000
   0.84525714205696545E-008   0.163925342E-004   0.000000000E+000
   0.84903061144114833E-008   0.151932882E-004   0.000000000E+000
   0.85280408082533121E-008   0.140375996E-004   0.000000000E+000
   0.85657755020951409E-008   0.129686750E-004   0.000000000E+000
   0.86035101959369698E-008   0.119537854E-004   0.000000000E+000
   0.86412448897787986E-008   0.109704370E-004   0.000000000E+000
   0.86789795836206274E-008   0.100555017E-004   0.000000000E+000
   0.87167142774624562E-008   0.921912942E-005   0.000000000E+000
   0.87544489713042850E-008   0.839662607E-005   0.000000000E+000
   0.87921836651461138E-008   0.752894221E-005   0.000000000E+000
   0.88299183589879426E-008   0.664892787E-005   0.000000000E+000
   0.88676530528297715E-008   0.576347475E-005   0.000000000E+000
   0.89053877466716003E-008   0.473905220E-005   0.000000000E+000
   0.89431224405134291E-008   0.339284270E-005   0.000000000E+000
   0.89808571343552579E-008   0.166665666E-005   0.000000000E+000
   0.90185918281970867E-008  -0.381703899E-006   0.000000000E+000
   0.90563265220389155E-008  -0.273668638E-005   0.000000000E+000
   0.90940612158807443E-008  -0.551503308E-005   0.000000000E+000
   0.91317959097225732E-008  -0.886690577E-005   0.000000000E+000
   0.91695306035644020E-008  -0.128173542E-004   0.000000000E+000
   0.92072652974062308E-008  -0.172171967E-004   0.000000000E+000
   0.92449999912480596E-008  -0.218628793E-004   0.000000000E+000
   0.92827346850898884E-008  -0.266487659E-004   0.000000000E+000
   0.93204693789317172E-008  -0.315915859E-004   0.000000000E+000
   0.93582040727735460E-008  -0.366900895E-004   0.000000000E+000
   0.93959387666153749E-008  -0.418261079E-004   0.000000000E+000
   0.94336734604572037E-008  -0.468385988E-004   0.000000000E+000
   0.94714081542990325E-008  -0.516461441E-004   0.000000000E+000
   0.95091428481408613E-008  -0.562885325E-004   0.000000000E+000
   0.95468775419826901E-008  -0.608452247E-004   0.000000000E+000
   0.95846122358245189E-008  -0.653014649E-004   0.000000000E+000
   0.96223469296663477E-008  -0.694236223E-004   0.000000000E+000
   0.96600816235081766E-008  -0.728751111E-004   0.000000000E+000
   0.96978163173500054E-008  -0.755936344E-004   0.000000000E+000
   0.97355510111918342E-008  -0.779231923E-004   0.000000000E+000
